time,latitude,longitude,pm2p5
2018-01-01,-7.0,106.0,20.693171620678186
2018-01-01,-7.0,106.05,21.581336066371122
2018-01-01,-7.0,106.1,22.469500512064062
2018-01-01,-7.0,106.14999999999999,23.357664957757
2018-01-01,-7.0,106.19999999999999,24.24582940344994
2018-01-01,-7.0,106.24999999999999,25.133993849142875
2018-01-01,-7.0,106.29999999999998,26.022158294835815
2018-01-01,-7.0,106.34999999999998,26.910322740528752
2018-01-01,-7.0,106.39999999999998,27.798487186221692
2018-01-01,-7.0,106.44999999999997,28.68665163191463
2018-01-01,-7.0,106.49999999999997,29.574816077607565
2018-01-01,-7.0,106.54999999999997,30.46298052330051
2018-01-01,-7.0,106.59999999999997,31.35114496899344
2018-01-01,-7.0,106.64999999999996,32.239309414686375
2018-01-01,-7.0,106.69999999999996,33.12747386037932
2018-01-01,-7.0,106.74999999999996,34.01563830607226
2018-01-01,-7.0,106.79999999999995,34.86819627103839
2018-01-01,-7.0,106.84999999999995,35.7207542360045
2018-01-01,-7.0,106.89999999999995,36.57331220097062
2018-01-01,-7.0,106.94999999999995,37.42587016593672
2018-01-01,-7.0,106.99999999999994,38.27842813090283
2018-01-01,-7.0,107.04999999999994,39.13098609586894
2018-01-01,-7.0,107.09999999999994,39.983544060835044
2018-01-01,-7.0,107.14999999999993,40.836102025801154
2018-01-01,-7.0,107.19999999999993,41.68865999076727
2018-01-01,-7.0,107.24999999999993,42.54121795573338
2018-01-01,-7.0,107.29999999999993,43.39377592069948
2018-01-01,-7.0,107.34999999999992,44.24633388566559
2018-01-01,-7.0,107.39999999999992,45.0988918506317
2018-01-01,-7.0,107.44999999999992,45.951449815597805
2018-01-01,-6.95,106.0,20.845517190171137
2018-01-01,-6.95,106.05,21.724763961579878
2018-01-01,-6.95,106.1,22.604010732988616
2018-01-01,-6.95,106.14999999999999,23.483257504397354
2018-01-01,-6.95,106.19999999999999,24.362504275806092
2018-01-01,-6.95,106.24999999999999,25.241751047214834
2018-01-01,-6.95,106.29999999999998,26.12099781862357
2018-01-01,-6.95,106.34999999999998,27.00024459003231
2018-01-01,-6.95,106.39999999999998,27.879491361441048
2018-01-01,-6.95,106.44999999999997,28.75873813284979
2018-01-01,-6.95,106.49999999999997,29.637984904258523
2018-01-01,-6.95,106.54999999999997,30.51723167566726
2018-01-01,-6.95,106.59999999999997,31.396478447076007
2018-01-01,-6.95,106.64999999999996,32.275725218484745
2018-01-01,-6.95,106.69999999999996,33.15497198989348
2018-01-01,-6.95,106.74999999999996,34.03421876130222
2018-01-01,-6.95,106.79999999999995,34.864055669658136
2018-01-01,-6.95,106.84999999999995,35.69389257801401
2018-01-01,-6.95,106.89999999999995,36.52372948636988
2018-01-01,-6.95,106.94999999999995,37.35356639472575
2018-01-01,-6.95,106.99999999999994,38.18340330308162
2018-01-01,-6.95,107.04999999999994,39.01324021143749
2018-01-01,-6.95,107.09999999999994,39.843077119793364
2018-01-01,-6.95,107.14999999999993,40.672914028149236
2018-01-01,-6.95,107.19999999999993,41.50275093650511
2018-01-01,-6.95,107.24999999999993,42.33258784486098
2018-01-01,-6.95,107.29999999999993,43.162424753216854
2018-01-01,-6.95,107.34999999999992,43.99226166157272
2018-01-01,-6.95,107.39999999999992,44.82209856992859
2018-01-01,-6.95,107.44999999999992,45.651935478284464
2018-01-01,-6.9,106.0,20.997862759664084
2018-01-01,-6.9,106.05,21.868191856788624
2018-01-01,-6.9,106.1,22.738520953913163
2018-01-01,-6.9,106.14999999999999,23.608850051037706
2018-01-01,-6.9,106.19999999999999,24.479179148162245
2018-01-01,-6.9,106.24999999999999,25.349508245286785
2018-01-01,-6.9,106.29999999999998,26.219837342411324
2018-01-01,-6.9,106.34999999999998,27.090166439535864
2018-01-01,-6.9,106.39999999999998,27.960495536660403
2018-01-01,-6.9,106.44999999999997,28.830824633784946
2018-01-01,-6.9,106.49999999999997,29.701153730909486
2018-01-01,-6.9,106.54999999999997,30.57148282803403
2018-01-01,-6.9,106.59999999999997,31.441811925158568
2018-01-01,-6.9,106.64999999999996,32.31214102228311
2018-01-01,-6.9,106.69999999999996,33.18247011940765
2018-01-01,-6.9,106.74999999999996,34.052799216532186
2018-01-01,-6.9,106.79999999999995,34.85991506827788
2018-01-01,-6.9,106.84999999999995,35.667030920023514
2018-01-01,-6.9,106.89999999999995,36.47414677176915
2018-01-01,-6.9,106.94999999999995,37.281262623514785
2018-01-01,-6.9,106.99999999999994,38.08837847526041
2018-01-01,-6.9,107.04999999999994,38.89549432700605
2018-01-01,-6.9,107.09999999999994,39.702610178751684
2018-01-01,-6.9,107.14999999999993,40.50972603049732
2018-01-01,-6.9,107.19999999999993,41.316841882242954
2018-01-01,-6.9,107.24999999999993,42.12395773398859
2018-01-01,-6.9,107.29999999999993,42.93107358573422
2018-01-01,-6.9,107.34999999999992,43.73818943747985
2018-01-01,-6.9,107.39999999999992,44.54530528922549
2018-01-01,-6.9,107.44999999999992,45.352421140971124
2018-01-01,-6.8500000000000005,106.0,21.15020832915704
2018-01-01,-6.8500000000000005,106.05,22.01161975199738
2018-01-01,-6.8500000000000005,106.1,22.873031174837717
2018-01-01,-6.8500000000000005,106.14999999999999,23.734442597678058
2018-01-01,-6.8500000000000005,106.19999999999999,24.5958540205184
2018-01-01,-6.8500000000000005,106.24999999999999,25.45726544335874
2018-01-01,-6.8500000000000005,106.29999999999998,26.31867686619908
2018-01-01,-6.8500000000000005,106.34999999999998,27.180088289039418
2018-01-01,-6.8500000000000005,106.39999999999998,28.041499711879762
