,KABKOT,month,year,longitude,latitude,tp,time
0,JAKARTA BARAT,1,2018,106.74999999999996,-6.158333333333336,7.256567077711253,2018-01-01
5,JAKARTA BARAT,2,2018,106.74999999999996,-6.158333333333336,9.965402185916659,2018-02-01
10,JAKARTA BARAT,3,2018,106.74999999999996,-6.158333333333336,7.343809191758339,2018-03-01
15,JAKARTA BARAT,4,2018,106.74999999999996,-6.158333333333336,6.208610503623864,2018-04-01
20,JAKARTA BARAT,5,2018,106.74999999999996,-6.158333333333336,2.8957998317977047,2018-05-01
25,JAKARTA BARAT,6,2018,106.74999999999996,-6.158333333333336,2.9690043752392286,2018-06-01
30,JAKARTA BARAT,7,2018,106.74999999999996,-6.158333333333336,0.41187152887386763,2018-07-01
35,JAKARTA BARAT,8,2018,106.74999999999996,-6.158333333333336,0.5435300618410409,2018-08-01
40,JAKARTA BARAT,9,2018,106.74999999999996,-6.158333333333336,1.2984598800540255,2018-09-01
45,JAKARTA BARAT,10,2018,106.74999999999996,-6.158333333333336,2.0870867868264775,2018-10-01
50,JAKARTA BARAT,11,2018,106.74999999999996,-6.158333333333336,7.533491955449205,2018-11-01
55,JAKARTA BARAT,12,2018,106.74999999999996,-6.158333333333336,5.545330742995064,2018-12-01
60,JAKARTA PUSAT,1,2018,106.84999999999997,-6.200000000000003,7.3935982584953,2018-01-01
65,JAKARTA PUSAT,2,2018,106.84999999999997,-6.200000000000003,10.25203958153702,2018-02-01
70,JAKARTA PUSAT,3,2018,106.84999999999997,-6.200000000000003,8.209702596068016,2018-03-01
75,JAKARTA PUSAT,4,2018,106.84999999999997,-6.200000000000003,6.381156109273337,2018-04-01
80,JAKARTA PUSAT,5,2018,106.84999999999997,-6.200000000000003,2.745189182460324,2018-05-01
85,JAKARTA PUSAT,6,2018,106.84999999999997,-6.200000000000003,2.7928175032139007,2018-06-01
90,JAKARTA PUSAT,7,2018,106.84999999999997,-6.200000000000003,0.3705828264355804,2018-07-01
95,JAKARTA PUSAT,8,2018,106.84999999999997,-6.200000000000003,0.5167883262038236,2018-08-01
100,JAKARTA PUSAT,9,2018,106.84999999999997,-6.200000000000003,1.3100055232644094,2018-09-01
105,JAKARTA PUSAT,10,2018,106.84999999999997,-6.200000000000003,2.223944813013017,2018-10-01
110,JAKARTA PUSAT,11,2018,106.84999999999997,-6.200000000000003,8.433230258524073,2018-11-01
115,JAKARTA PUSAT,12,2018,106.84999999999997,-6.200000000000003,5.602146238088591,2018-12-01
120,JAKARTA SELATAN,1,2018,106.8083333333333,-6.283333333333336,7.724275315801306,2018-01-01
125,JAKARTA SELATAN,2,2018,106.8083333333333,-6.283333333333336,10.031364578753534,2018-02-01
130,JAKARTA SELATAN,3,2018,106.8083333333333,-6.283333333333336,8.494809766610134,2018-03-01
135,JAKARTA SELATAN,4,2018,106.8083333333333,-6.283333333333336,6.5930646533766835,2018-04-01
140,JAKARTA SELATAN,5,2018,106.8083333333333,-6.283333333333336,2.751662116497801,2018-05-01
145,JAKARTA SELATAN,6,2018,106.8083333333333,-6.283333333333336,2.800656637797776,2018-06-01
150,JAKARTA SELATAN,7,2018,106.8083333333333,-6.283333333333336,0.45228547727070295,2018-07-01
155,JAKARTA SELATAN,8,2018,106.8083333333333,-6.283333333333336,0.6165339611470858,2018-08-01
160,JAKARTA SELATAN,9,2018,106.8083333333333,-6.283333333333336,1.6083645013471652,2018-09-01
165,JAKARTA SELATAN,10,2018,106.8083333333333,-6.283333333333336,2.73478425418336,2018-10-01
170,JAKARTA SELATAN,11,2018,106.8083333333333,-6.283333333333336,9.326378380258612,2018-11-01
175,JAKARTA SELATAN,12,2018,106.8083333333333,-6.283333333333336,5.998232463995623,2018-12-01
180,JAKARTA TIMUR,1,2018,106.90999999999997,-6.2600000000000025,7.734732776880238,2018-01-01
185,JAKARTA TIMUR,2,2018,106.90999999999997,-6.2600000000000025,10.535441070794842,2018-02-01
190,JAKARTA TIMUR,3,2018,106.90999999999997,-6.2600000000000025,9.216191381215626,2018-03-01
195,JAKARTA TIMUR,4,2018,106.90999999999997,-6.2600000000000025,6.761695519089608,2018-04-01
