time,latitude,longitude,tcso2
2018-01-01,-7.0,106.0,1.4497618394671008e-06
2018-01-01,-7.0,106.05,1.508324567112137e-06
2018-01-01,-7.0,106.1,1.5668872947571732e-06
2018-01-01,-7.0,106.14999999999999,1.6254500224022095e-06
2018-01-01,-7.0,106.19999999999999,1.6840127500472458e-06
2018-01-01,-7.0,106.24999999999999,1.742575477692282e-06
2018-01-01,-7.0,106.29999999999998,1.8011382053373182e-06
2018-01-01,-7.0,106.34999999999998,1.8597009329823545e-06
2018-01-01,-7.0,106.39999999999998,1.9182636606273908e-06
2018-01-01,-7.0,106.44999999999997,1.976826388272427e-06
2018-01-01,-7.0,106.49999999999997,2.0353891159174633e-06
2018-01-01,-7.0,106.54999999999997,2.0939518435624994e-06
2018-01-01,-7.0,106.59999999999997,2.1525145712075355e-06
2018-01-01,-7.0,106.64999999999996,2.211077298852572e-06
2018-01-01,-7.0,106.69999999999996,2.269640026497608e-06
2018-01-01,-7.0,106.74999999999996,2.328202754142644e-06
2018-01-01,-7.0,106.79999999999995,2.3936847052633323e-06
2018-01-01,-7.0,106.84999999999995,2.459166656384026e-06
2018-01-01,-7.0,106.89999999999995,2.52464860750472e-06
2018-01-01,-7.0,106.94999999999995,2.5901305586254136e-06
2018-01-01,-7.0,106.99999999999994,2.6556125097461077e-06
2018-01-01,-7.0,107.04999999999994,2.7210944608668013e-06
2018-01-01,-7.0,107.09999999999994,2.7865764119874954e-06
2018-01-01,-7.0,107.14999999999993,2.852058363108189e-06
2018-01-01,-7.0,107.19999999999993,2.917540314228883e-06
2018-01-01,-7.0,107.24999999999993,2.983022265349577e-06
2018-01-01,-7.0,107.29999999999993,3.0485042164702707e-06
2018-01-01,-7.0,107.34999999999992,3.1139861675909644e-06
2018-01-01,-7.0,107.39999999999992,3.1794681187116584e-06
2018-01-01,-7.0,107.44999999999992,3.2449500698323525e-06
2018-01-01,-6.95,106.0,1.4763649829774294e-06
2018-01-01,-6.95,106.05,1.5390609435902019e-06
2018-01-01,-6.95,106.1,1.6017569042029743e-06
2018-01-01,-6.95,106.14999999999999,1.6644528648157467e-06
2018-01-01,-6.95,106.19999999999999,1.7271488254285192e-06
2018-01-01,-6.95,106.24999999999999,1.7898447860412914e-06
2018-01-01,-6.95,106.29999999999998,1.8525407466540639e-06
2018-01-01,-6.95,106.34999999999998,1.9152367072668363e-06
2018-01-01,-6.95,106.39999999999998,1.9779326678796087e-06
2018-01-01,-6.95,106.44999999999997,2.040628628492381e-06
2018-01-01,-6.95,106.49999999999997,2.1033245891051536e-06
2018-01-01,-6.95,106.54999999999997,2.166020549717926e-06
2018-01-01,-6.95,106.59999999999997,2.2287165103306985e-06
2018-01-01,-6.95,106.64999999999996,2.291412470943471e-06
2018-01-01,-6.95,106.69999999999996,2.3541084315562434e-06
2018-01-01,-6.95,106.74999999999996,2.416804392169016e-06
2018-01-01,-6.95,106.79999999999995,2.4822871375817466e-06
2018-01-01,-6.95,106.84999999999995,2.54776988299448e-06
2018-01-01,-6.95,106.89999999999995,2.6132526284072138e-06
2018-01-01,-6.95,106.94999999999995,2.678735373819947e-06
2018-01-01,-6.95,106.99999999999994,2.7442181192326805e-06
2018-01-01,-6.95,107.04999999999994,2.809700864645414e-06
2018-01-01,-6.95,107.09999999999994,2.875183610058147e-06
2018-01-01,-6.95,107.14999999999993,2.9406663554708805e-06
2018-01-01,-6.95,107.19999999999993,3.0061491008836143e-06
2018-01-01,-6.95,107.24999999999993,3.0716318462963472e-06
2018-01-01,-6.95,107.29999999999993,3.137114591709081e-06
2018-01-01,-6.95,107.34999999999992,3.2025973371218144e-06
2018-01-01,-6.95,107.39999999999992,3.2680800825345477e-06
2018-01-01,-6.95,107.44999999999992,3.333562827947281e-06
2018-01-01,-6.9,106.0,1.502968126487758e-06
2018-01-01,-6.9,106.05,1.5697973200682666e-06
2018-01-01,-6.9,106.1,1.6366265136487752e-06
2018-01-01,-6.9,106.14999999999999,1.7034557072292838e-06
2018-01-01,-6.9,106.19999999999999,1.7702849008097924e-06
2018-01-01,-6.9,106.24999999999999,1.8371140943903012e-06
2018-01-01,-6.9,106.29999999999998,1.9039432879708098e-06
2018-01-01,-6.9,106.34999999999998,1.9707724815513184e-06
2018-01-01,-6.9,106.39999999999998,2.037601675131827e-06
2018-01-01,-6.9,106.44999999999997,2.1044308687123355e-06
2018-01-01,-6.9,106.49999999999997,2.171260062292844e-06
2018-01-01,-6.9,106.54999999999997,2.2380892558733527e-06
2018-01-01,-6.9,106.59999999999997,2.3049184494538615e-06
2018-01-01,-6.9,106.64999999999996,2.37174764303437e-06
2018-01-01,-6.9,106.69999999999996,2.4385768366148787e-06
2018-01-01,-6.9,106.74999999999996,2.5054060301953875e-06
2018-01-01,-6.9,106.79999999999995,2.5708895699001614e-06
