,KABKOT,month,longitude,latitude,year,RH,time
38,JAKARTA TIMUR,3,106.90999999999997,-6.2600000000000025,2020.0,83.90764794921866,2020-02-29 14:24:00
39,JAKARTA TIMUR,4,106.90999999999997,-6.2600000000000025,2020.0,83.4567915039063,2020-03-31 14:24:00
40,JAKARTA TIMUR,5,106.90999999999997,-6.2600000000000025,2020.0,82.05597094726566,2020-04-30 14:24:00
41,JAKARTA TIMUR,6,106.90999999999997,-6.2600000000000025,2020.0,80.76535351562491,2020-05-31 14:24:00
42,JAKARTA TIMUR,7,106.90999999999997,-6.2600000000000025,2020.0,76.26235815429662,2020-06-30 14:24:00
43,JAKARTA TIMUR,8,106.90999999999997,-6.2600000000000025,2020.0,75.00837499999982,2020-07-31 14:24:00
44,JAKARTA TIMUR,9,106.90999999999997,-6.2600000000000025,2020.0,74.65776416015613,2020-08-31 14:24:00
45,JAKARTA TIMUR,10,106.90999999999997,-6.2600000000000025,2020.0,77.24344091796848,2020-09-30 14:24:00
46,JAKARTA TIMUR,11,106.90999999999997,-6.2600000000000025,2020.0,81.23060913085911,2020-10-31 14:24:00
47,JAKARTA TIMUR,12,106.90999999999997,-6.2600000000000025,2020.0,83.05142333984374,2020-11-30 14:24:00
48,JAKARTA UTARA,1,106.89166666666662,-6.125000000000003,2020.0,84.11228658040365,2020-01-01 09:36:00
49,JAKARTA UTARA,2,106.89166666666662,-6.125000000000003,2020.0,85.2560144042969,2020-02-01 09:36:00
50,JAKARTA UTARA,3,106.89166666666662,-6.125000000000003,2020.0,83.46309000651046,2020-02-29 14:24:00
51,JAKARTA UTARA,4,106.89166666666662,-6.125000000000003,2020.0,82.96704142252607,2020-03-31 14:24:00
52,JAKARTA UTARA,5,106.89166666666662,-6.125000000000003,2020.0,81.85063191731776,2020-04-30 14:24:00
53,JAKARTA UTARA,6,106.89166666666662,-6.125000000000003,2020.0,80.64971964518227,2020-05-31 14:24:00
54,JAKARTA UTARA,7,106.89166666666662,-6.125000000000003,2020.0,76.84155151367155,2020-06-30 14:24:00
55,JAKARTA UTARA,8,106.89166666666662,-6.125000000000003,2020.0,75.63515726725227,2020-07-31 14:24:00
56,JAKARTA UTARA,9,106.89166666666662,-6.125000000000003,2020.0,75.32590270996069,2020-08-31 14:24:00
57,JAKARTA UTARA,10,106.89166666666662,-6.125000000000003,2020.0,77.13822977701798,2020-09-30 14:24:00
58,JAKARTA UTARA,11,106.89166666666662,-6.125000000000003,2020.0,80.65552388509099,2020-10-31 14:24:00
59,JAKARTA UTARA,12,106.89166666666662,-6.125000000000003,2020.0,82.58713948567711,2020-11-30 14:24:00
