time,latitude,longitude,tp
2018-01-01,-7.0,106.0,27.118584141135216
2018-01-01,-7.0,106.05,26.76387317478659
2018-01-01,-7.0,106.1,26.409162208437962
2018-01-01,-7.0,106.14999999999999,26.054451242089332
2018-01-01,-7.0,106.19999999999999,25.6997402757407
2018-01-01,-7.0,106.24999999999999,25.345029309392075
2018-01-01,-7.0,106.29999999999998,24.41462054848703
2018-01-01,-7.0,106.34999999999998,23.484211787581813
2018-01-01,-7.0,106.39999999999998,22.553803026676604
2018-01-01,-7.0,106.44999999999997,21.62339426577139
2018-01-01,-7.0,106.49999999999997,20.692985504866172
2018-01-01,-7.0,106.54999999999997,19.763318076730357
2018-01-01,-7.0,106.59999999999997,18.833650648594535
2018-01-01,-7.0,106.64999999999996,17.90398322045872
2018-01-01,-7.0,106.69999999999996,16.974315792322898
2018-01-01,-7.0,106.74999999999996,16.04464836418708
2018-01-01,-7.0,106.79999999999995,15.370002388954775
2018-01-01,-7.0,106.84999999999995,14.69535641372269
2018-01-01,-7.0,106.89999999999995,14.020710438490603
2018-01-01,-7.0,106.94999999999995,13.346064463258518
2018-01-01,-7.0,106.99999999999994,12.671418488026433
2018-01-01,-7.0,107.04999999999994,12.757105380296604
2018-01-01,-7.0,107.09999999999994,12.842792272567642
2018-01-01,-7.0,107.14999999999993,12.928479164838679
2018-01-01,-7.0,107.19999999999993,13.014166057109716
2018-01-01,-7.0,107.24999999999993,13.099852949380754
2018-01-01,-7.0,107.29999999999993,13.066097535193018
2018-01-01,-7.0,107.34999999999992,13.03234212100511
2018-01-01,-7.0,107.39999999999992,12.998586706817203
2018-01-01,-7.0,107.44999999999992,12.964831292629297
2018-01-01,-6.95,106.0,25.827900320291523
2018-01-01,-6.95,106.05,25.50586909055712
2018-01-01,-6.95,106.1,25.18383786082272
2018-01-01,-6.95,106.14999999999999,24.861806631088317
2018-01-01,-6.95,106.19999999999999,24.539775401353914
2018-01-01,-6.95,106.24999999999999,24.21774417161951
2018-01-01,-6.95,106.29999999999998,23.319310396910026
2018-01-01,-6.95,106.34999999999998,22.420876622200375
2018-01-01,-6.95,106.39999999999998,21.522442847490723
2018-01-01,-6.95,106.44999999999997,20.62400907278107
2018-01-01,-6.95,106.49999999999997,19.72557529807142
2018-01-01,-6.95,106.54999999999997,18.885582536459495
2018-01-01,-6.95,106.59999999999997,18.045589774847606
2018-01-01,-6.95,106.64999999999996,17.205597013235714
2018-01-01,-6.95,106.69999999999996,16.365604251623825
2018-01-01,-6.95,106.74999999999996,15.525611490011933
2018-01-01,-6.95,106.79999999999995,14.850909821689745
2018-01-01,-6.95,106.84999999999995,14.176208153367696
2018-01-01,-6.95,106.89999999999995,13.501506485045649
2018-01-01,-6.95,106.94999999999995,12.826804816723602
2018-01-01,-6.95,106.99999999999994,12.152103148401553
2018-01-01,-6.95,107.04999999999994,12.181499972939458
2018-01-01,-6.95,107.09999999999994,12.210896797478163
2018-01-01,-6.95,107.14999999999993,12.24029362201687
2018-01-01,-6.95,107.19999999999993,12.269690446555577
2018-01-01,-6.95,107.24999999999993,12.299087271094283
2018-01-01,-6.95,107.29999999999993,12.252979576587746
2018-01-01,-6.95,107.34999999999992,12.206871882081105
2018-01-01,-6.95,107.39999999999992,12.160764187574463
2018-01-01,-6.95,107.44999999999992,12.114656493067821
2018-01-01,-6.9,106.0,24.53721649944783
2018-01-01,-6.9,106.05,24.247865006327654
2018-01-01,-6.9,106.1,23.95851351320748
2018-01-01,-6.9,106.14999999999999,23.6691620200873
2018-01-01,-6.9,106.19999999999999,23.379810526967123
2018-01-01,-6.9,106.24999999999999,23.090459033846948
2018-01-01,-6.9,106.29999999999998,22.224000245333023
2018-01-01,-6.9,106.34999999999998,21.357541456818932
2018-01-01,-6.9,106.39999999999998,20.49108266830484
2018-01-01,-6.9,106.44999999999997,19.624623879790754
2018-01-01,-6.9,106.49999999999997,18.758165091276666
2018-01-01,-6.9,106.54999999999997,18.00784699618864
2018-01-01,-6.9,106.59999999999997,17.257528901100674
2018-01-01,-6.9,106.64999999999996,16.50721080601271
2018-01-01,-6.9,106.69999999999996,15.75689271092475
2018-01-01,-6.9,106.74999999999996,15.006574615836788
2018-01-01,-6.9,106.79999999999995,14.331817254424712
2018-01-01,-6.9,106.84999999999995,13.657059893012702
2018-01-01,-6.9,106.89999999999995,12.982302531600693
2018-01-01,-6.9,106.94999999999995,12.307545170188682
2018-01-01,-6.9,106.99999999999994,11.632787808776673
2018-01-01,-6.9,107.04999999999994,11.605894565582313
2018-01-01,-6.9,107.09999999999994,11.579001322388686
2018-01-01,-6.9,107.14999999999993,11.552108079195062
2018-01-01,-6.9,107.19999999999993,11.525214836001439
2018-01-01,-6.9,107.24999999999993,11.498321592807814
2018-01-01,-6.9,107.29999999999993,11.43986161798248
2018-01-01,-6.9,107.34999999999992,11.381401643157101
2018-01-01,-6.9,107.39999999999992,11.322941668331723
2018-01-01,-6.9,107.44999999999992,11.264481693506344
2018-01-01,-6.8500000000000005,106.0,23.24653267860414
2018-01-01,-6.8500000000000005,106.05,22.989860922098188
2018-01-01,-6.8500000000000005,106.1,22.733189165592236
2018-01-01,-6.8500000000000005,106.14999999999999,22.476517409086284
2018-01-01,-6.8500000000000005,106.19999999999999,22.219845652580332
2018-01-01,-6.8500000000000005,106.24999999999999,21.96317389607438
2018-01-01,-6.8500000000000005,106.29999999999998,21.12869009375602
2018-01-01,-6.8500000000000005,106.34999999999998,20.294206291437494
2018-01-01,-6.8500000000000005,106.39999999999998,19.459722489118967
