,KABKOT,month,year,longitude,latitude,pm2p5,time,RH,t2m,tp,ispa,pm10,so2
0,JAKARTA BARAT,1,2018,106.74999999999996,-6.158333333333336,32.9903469339916,2018-01-01,81.91416015625,27.059569905598977,7.256567077711253,35036,47.29495030839942,3.2822438886783405
1,JAKARTA BARAT,2,2018,106.74999999999996,-6.158333333333336,39.14552057220812,2018-02-01,85.60763346354155,26.742241007487035,9.96540218591666,1484,55.981318394237626,3.608457283009139
2,JAKARTA BARAT,3,2018,106.74999999999996,-6.158333333333336,44.44306457271591,2018-03-01,83.61339619954417,27.245900878906298,7.343809191758339,1842,63.22595814308264,4.557899023817517
3,JAKARTA BARAT,4,2018,106.74999999999996,-6.158333333333336,61.21402409162463,2018-04-01,83.66941630045575,27.65983866373702,6.208610503623864,2402,86.8873959092299,5.501254368123523
4,JAKARTA BARAT,5,2018,106.74999999999996,-6.158333333333336,68.22975241189208,2018-05-01,80.34615885416666,28.083251342773465,2.8957998317977047,1127,96.9865734331186,6.0987578460058245
5,JAKARTA BARAT,6,2018,106.74999999999996,-6.158333333333336,69.65852060897909,2018-06-01,79.28447265624986,27.91437723795577,2.969004375239229,1414,99.03380330121728,5.987517179445331
6,JAKARTA BARAT,7,2018,106.74999999999996,-6.158333333333336,70.59047564360489,2018-07-01,71.59750162760403,27.75563374837244,0.4118715288738676,1134,100.39019228161015,6.214689598191629
7,JAKARTA BARAT,8,2018,106.74999999999996,-6.158333333333336,58.169737936116455,2018-08-01,69.81239420572886,27.94079589843756,0.5435300618410409,1478,82.65744068955729,5.035558154600808
8,JAKARTA BARAT,9,2018,106.74999999999996,-6.158333333333336,60.512664184189305,2018-09-01,68.86245422363245,28.23247294108079,1.2984598800540257,1270,85.48013440387884,4.929679078725326
9,JAKARTA BARAT,10,2018,106.74999999999996,-6.158333333333336,60.23679925131674,2018-10-01,72.79044799804666,28.67855997721359,2.087086786826477,1052,85.23357251593504,4.513065743500881
10,JAKARTA BARAT,11,2018,106.74999999999996,-6.158333333333336,58.3013135477565,2018-11-01,81.83207906087229,27.742085978190147,7.533491955449205,885,82.77492165179889,4.7327537357613245
11,JAKARTA BARAT,12,2018,106.74999999999996,-6.158333333333336,41.8206946983796,2018-12-01,80.8577779134114,27.643994954427125,5.545330742995064,1931,59.63568610094927,3.9593333097228
12,JAKARTA PUSAT,1,2018,106.84999999999997,-6.200000000000003,34.55788299078181,2018-01-01,81.77712402343761,26.999471435546862,7.3935982584953,22406,49.51001738954554,3.4452363809356967
13,JAKARTA PUSAT,2,2018,106.84999999999997,-6.200000000000003,40.62722597453212,2018-02-01,85.84272460937484,26.64286743164064,10.25203958153702,1930,58.06659635491459,3.735606236636782
14,JAKARTA PUSAT,3,2018,106.84999999999997,-6.200000000000003,46.57348150990012,2018-03-01,83.77357177734383,27.16128906249997,8.209702596068016,1930,66.23721239643965,4.719448322181792
15,JAKARTA PUSAT,4,2018,106.84999999999997,-6.200000000000003,62.30025698291405,2018-04-01,83.59251098632824,27.60523193359376,6.381156109273337,3282,88.42057383162826,5.5828675360321816
16,JAKARTA PUSAT,5,2018,106.84999999999997,-6.200000000000003,69.28052409686458,2018-05-01,80.21781616210916,27.999857177734384,2.745189182460324,1982,98.45955953362,6.2052844642877485
17,JAKARTA PUSAT,6,2018,106.84999999999997,-6.200000000000003,70.30925235795978,2018-06-01,79.39576416015598,27.811636962890645,2.7928175032139007,2568,99.9438661608583,6.068215211602875
18,JAKARTA PUSAT,7,2018,106.84999999999997,-6.200000000000003,70.71854079517603,2018-07-01,71.87464599609312,27.58078491210944,0.3705828264355804,1747,100.5689869515457,6.257995475712407
19,JAKARTA PUSAT,8,2018,106.84999999999997,-6.200000000000003,58.37065423008976,2018-08-01,70.43990478515582,27.757995605468807,0.5167883262038236,996,82.93507871570819,5.059825767658581
20,JAKARTA PUSAT,9,2018,106.84999999999997,-6.200000000000003,60.8912565643521,2018-09-01,69.13188476562426,28.09042236328133,1.3100055232644094,2337,86.00002567268098,4.976060807929671
21,JAKARTA PUSAT,10,2018,106.84999999999997,-6.200000000000003,60.95165146528405,2018-10-01,73.1739685058588,28.55349975585944,2.223944813013017,1934,86.23668422321484,4.564571399776228
22,JAKARTA PUSAT,11,2018,106.84999999999997,-6.200000000000003,59.5638276005659,2018-11-01,82.10829467773436,27.657792968750016,8.433230258524073,1897,84.5505408264565,4.830095285786599
23,JAKARTA PUSAT,12,2018,106.84999999999997,-6.200000000000003,43.4625298062485,2018-12-01,80.86126708984379,27.604218749999973,5.602146238088591,1968,61.94517019035094,4.088973938056644
24,JAKARTA SELATAN,1,2018,106.8083333333333,-6.283333333333336,34.8979248466584,2018-01-01,82.01547241210947,26.70251668294269,7.724275315801306,37528,49.99811030377944,3.592784565419274
25,JAKARTA SELATAN,2,2018,106.8083333333333,-6.283333333333336,41.93688245680659,2018-02-01,86.04963684082021,26.391271972656263,10.031364578753534,4655,59.89194017027173,3.9743705166648655
26,JAKARTA SELATAN,3,2018,106.8083333333333,-6.283333333333336,48.28605945947635,2018-03-01,83.94305928548168,26.89417724609375,8.494809766610134,3851,68.66073380962183,4.989378806439876
27,JAKARTA SELATAN,4,2018,106.8083333333333,-6.283333333333336,66.37405184485488,2018-04-01,83.81354777018235,27.33210144042968,6.593064653376684,5088,94.19326857261736,6.043484422133505
28,JAKARTA SELATAN,5,2018,106.8083333333333,-6.283333333333336,73.86386411154355,2018-05-01,80.17424011230476,27.72099914550781,2.751662116497801,4087,104.95493758039994,6.713428715081437
29,JAKARTA SELATAN,6,2018,106.8083333333333,-6.283333333333336,74.50232950567766,2018-06-01,79.21704610188796,27.55964050292969,2.800656637797776,3083,105.8917105408372,6.548508244191368
30,JAKARTA SELATAN,7,2018,106.8083333333333,-6.283333333333336,74.64446264797057,2018-07-01,70.85765075683554,27.39687093098964,0.4522854772707029,3043,106.1497037873568,6.705834400462666
31,JAKARTA SELATAN,8,2018,106.8083333333333,-6.283333333333336,60.73135197946991,2018-08-01,69.46562194824168,27.6080637613933,0.6165339611470858,2341,86.29334659677336,5.391101159029096
