time,latitude,longitude,t2m
2018-01-01,-7.0,106.0,26.4659423828125
2018-01-01,-7.0,106.05,26.28235473632816
2018-01-01,-7.0,106.1,26.09876708984376
2018-01-01,-7.0,106.14999999999999,25.91517944335942
2018-01-01,-7.0,106.19999999999999,25.731591796875023
2018-01-01,-7.0,106.24999999999999,25.548004150390682
2018-01-01,-7.0,106.29999999999998,25.239801025390705
2018-01-01,-7.0,106.34999999999998,24.931597900390727
2018-01-01,-7.0,106.39999999999998,24.62339477539075
2018-01-01,-7.0,106.44999999999997,24.315191650390773
2018-01-01,-7.0,106.49999999999997,24.006988525390796
2018-01-01,-7.0,106.54999999999997,23.85385742187509
2018-01-01,-7.0,106.59999999999997,23.7007263183595
2018-01-01,-7.0,106.64999999999996,23.547595214843852
2018-01-01,-7.0,106.69999999999996,23.39446411132826
2018-01-01,-7.0,106.74999999999996,23.241333007812614
2018-01-01,-7.0,106.79999999999995,23.292504882812466
2018-01-01,-7.0,106.84999999999995,23.343676757812432
2018-01-01,-7.0,106.89999999999995,23.394848632812455
2018-01-01,-7.0,106.94999999999995,23.44602050781242
2018-01-01,-7.0,106.99999999999994,23.497192382812443
2018-01-01,-7.0,107.04999999999994,23.22960205078158
2018-01-01,-7.0,107.09999999999994,22.96201171875032
2018-01-01,-7.0,107.14999999999993,22.694421386719114
2018-01-01,-7.0,107.19999999999993,22.426831054687852
2018-01-01,-7.0,107.24999999999993,22.159240722656648
2018-01-01,-7.0,107.29999999999993,22.045977783203284
2018-01-01,-7.0,107.34999999999992,21.932714843750148
2018-01-01,-7.0,107.39999999999992,21.81945190429707
2018-01-01,-7.0,107.44999999999992,21.706188964843932
2018-01-01,-6.95,106.0,26.354998779296864
2018-01-01,-6.95,106.05,26.166022949218757
2018-01-01,-6.95,106.1,25.97704711914065
2018-01-01,-6.95,106.14999999999999,25.788071289062543
2018-01-01,-6.95,106.19999999999999,25.599095458984436
2018-01-01,-6.95,106.24999999999999,25.41011962890633
2018-01-01,-6.95,106.29999999999998,25.109804687500116
2018-01-01,-6.95,106.34999999999998,24.809489746093902
2018-01-01,-6.95,106.39999999999998,24.509174804687632
2018-01-01,-6.95,106.44999999999997,24.20885986328142
2018-01-01,-6.95,106.49999999999997,23.908544921875148
2018-01-01,-6.95,106.54999999999997,23.789792480468805
2018-01-01,-6.95,106.59999999999997,23.671040039062575
2018-01-01,-6.95,106.64999999999996,23.552287597656345
2018-01-01,-6.95,106.69999999999996,23.433535156250116
2018-01-01,-6.95,106.74999999999996,23.314782714843886
2018-01-01,-6.95,106.79999999999995,23.36587402343747
2018-01-01,-6.95,106.84999999999995,23.416965332031225
2018-01-01,-6.95,106.89999999999995,23.468056640624923
2018-01-01,-6.95,106.94999999999995,23.519147949218677
2018-01-01,-6.95,106.99999999999994,23.570239257812432
2018-01-01,-6.95,107.04999999999994,23.3849157714846
2018-01-01,-6.95,107.09999999999994,23.199592285156484
2018-01-01,-6.95,107.14999999999993,23.01426879882837
2018-01-01,-6.95,107.19999999999993,22.828945312500252
2018-01-01,-6.95,107.24999999999993,22.643621826172136
2018-01-01,-6.95,107.29999999999993,22.543402099609523
2018-01-01,-6.95,107.34999999999992,22.443182373047023
2018-01-01,-6.95,107.39999999999992,22.342962646484523
2018-01-01,-6.95,107.44999999999992,22.242742919922023
2018-01-01,-6.9,106.0,26.244055175781227
2018-01-01,-6.9,106.05,26.049691162109355
2018-01-01,-6.9,106.1,25.855327148437482
2018-01-01,-6.9,106.14999999999999,25.660963134765666
2018-01-01,-6.9,106.19999999999999,25.466599121093793
2018-01-01,-6.9,106.24999999999999,25.27223510742192
2018-01-01,-6.9,106.29999999999998,24.97980834960947
2018-01-01,-6.9,106.34999999999998,24.687381591796964
2018-01-01,-6.9,106.39999999999998,24.394954833984514
2018-01-01,-6.9,106.44999999999997,24.102528076172007
2018-01-01,-6.9,106.49999999999997,23.810101318359557
2018-01-01,-6.9,106.54999999999997,23.725727539062575
2018-01-01,-6.9,106.59999999999997,23.641353759765707
2018-01-01,-6.9,106.64999999999996,23.556979980468782
2018-01-01,-6.9,106.69999999999996,23.472606201171914
2018-01-01,-6.9,106.74999999999996,23.388232421875045
2018-01-01,-6.9,106.79999999999995,23.439243164062418
2018-01-01,-6.9,106.84999999999995,23.49025390624996
2018-01-01,-6.9,106.89999999999995,23.541264648437448
2018-01-01,-6.9,106.94999999999995,23.592275390624934
2018-01-01,-6.9,106.99999999999994,23.64328613281242
2018-01-01,-6.9,107.04999999999994,23.54022949218762
2018-01-01,-6.9,107.09999999999994,23.437172851562593
2018-01-01,-6.9,107.14999999999993,23.334116210937623
2018-01-01,-6.9,107.19999999999993,23.231059570312652
2018-01-01,-6.9,107.24999999999993,23.128002929687682
2018-01-01,-6.9,107.29999999999993,23.04082641601576
2018-01-01,-6.9,107.34999999999992,22.953649902343898
2018-01-01,-6.9,107.39999999999992,22.866473388672034
2018-01-01,-6.9,107.44999999999992,22.77929687500017
2018-01-01,-6.8500000000000005,106.0,26.133111572265648
2018-01-01,-6.8500000000000005,106.05,25.93335937500001
2018-01-01,-6.8500000000000005,106.1,25.733607177734427
2018-01-01,-6.8500000000000005,106.14999999999999,25.53385498046879
2018-01-01,-6.8500000000000005,106.19999999999999,25.334102783203207
2018-01-01,-6.8500000000000005,106.24999999999999,25.134350585937568
2018-01-01,-6.8500000000000005,106.29999999999998,24.849812011718882
2018-01-01,-6.8500000000000005,106.34999999999998,24.56527343750014
2018-01-01,-6.8500000000000005,106.39999999999998,24.280734863281396
