,KABKOT,month,geometry,longitude,latitude,year,pm2p5,time
0,JAKARTA BARAT,1,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,38.3376962565638,2020-01-01 09:36:00
1,JAKARTA BARAT,2,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,40.82249846900247,2020-02-01 09:36:00
2,JAKARTA BARAT,3,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,46.28980606656668,2020-02-29 14:24:00
3,JAKARTA BARAT,4,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,56.13821498684476,2020-03-31 14:24:00
4,JAKARTA BARAT,5,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,61.72610441071111,2020-04-30 14:24:00
5,JAKARTA BARAT,6,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,63.506839799585045,2020-05-31 14:24:00
6,JAKARTA BARAT,7,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,62.563071213341004,2020-06-30 14:24:00
7,JAKARTA BARAT,8,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,59.944935125165806,2020-07-31 14:24:00
8,JAKARTA BARAT,9,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,58.25795309287606,2020-08-31 14:24:00
9,JAKARTA BARAT,10,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,57.98053585959166,2020-09-30 14:24:00
