time,latitude,longitude,so2
2018-01-01,-7.0,106.0,37.50859148610175
2018-01-01,-7.0,106.05,39.7695636245031
2018-01-01,-7.0,106.1,42.030535762904464
2018-01-01,-7.0,106.14999999999999,44.29150790130581
2018-01-01,-7.0,106.19999999999999,46.55248003970717
2018-01-01,-7.0,106.24999999999999,48.813452178108534
2018-01-01,-7.0,106.29999999999998,51.07442431650989
2018-01-01,-7.0,106.34999999999998,53.33539645491124
2018-01-01,-7.0,106.39999999999998,55.59636859331259
2018-01-01,-7.0,106.44999999999997,57.85734073171395
2018-01-01,-7.0,106.49999999999997,60.11831287011532
2018-01-01,-7.0,106.54999999999997,62.379285008516675
2018-01-01,-7.0,106.59999999999997,64.64025714691802
2018-01-01,-7.0,106.64999999999996,66.90122928531939
2018-01-01,-7.0,106.69999999999996,69.16220142372073
2018-01-01,-7.0,106.74999999999996,71.42317356212209
2018-01-01,-7.0,106.79999999999995,72.34453801411586
2018-01-01,-7.0,106.84999999999995,73.26590246610849
2018-01-01,-7.0,106.89999999999995,74.18726691810112
2018-01-01,-7.0,106.94999999999995,75.10863137009375
2018-01-01,-7.0,106.99999999999994,76.02999582208638
2018-01-01,-7.0,107.04999999999994,76.95136027407901
2018-01-01,-7.0,107.09999999999994,77.87272472607164
2018-01-01,-7.0,107.14999999999993,78.79408917806427
2018-01-01,-7.0,107.19999999999993,79.71545363005691
2018-01-01,-7.0,107.24999999999993,80.63681808204953
2018-01-01,-7.0,107.29999999999993,81.55818253404216
2018-01-01,-7.0,107.34999999999992,82.4795469860348
2018-01-01,-7.0,107.39999999999992,83.40091143802744
2018-01-01,-7.0,107.44999999999992,84.32227589002005
2018-01-01,-6.95,106.0,37.841957521322904
2018-01-01,-6.95,106.05,40.07101575756627
2018-01-01,-6.95,106.1,42.30007399380964
2018-01-01,-6.95,106.14999999999999,44.529132230053
2018-01-01,-6.95,106.19999999999999,46.75819046629638
2018-01-01,-6.95,106.24999999999999,48.987248702539745
2018-01-01,-6.95,106.29999999999998,51.21630693878311
2018-01-01,-6.95,106.34999999999998,53.44536517502647
2018-01-01,-6.95,106.39999999999998,55.67442341126984
2018-01-01,-6.95,106.44999999999997,57.90348164751322
2018-01-01,-6.95,106.49999999999997,60.132539883756586
2018-01-01,-6.95,106.54999999999997,62.36159811999995
2018-01-01,-6.95,106.59999999999997,64.59065635624331
2018-01-01,-6.95,106.64999999999996,66.81971459248669
2018-01-01,-6.95,106.69999999999996,69.04877282873005
2018-01-01,-6.95,106.74999999999996,71.27783106497341
2018-01-01,-6.95,106.79999999999995,72.14986422912735
2018-01-01,-6.95,106.84999999999995,73.0218973932801
2018-01-01,-6.95,106.89999999999995,73.89393055743287
2018-01-01,-6.95,106.94999999999995,74.76596372158563
2018-01-01,-6.95,106.99999999999994,75.63799688573842
2018-01-01,-6.95,107.04999999999994,76.51003004989117
2018-01-01,-6.95,107.09999999999994,77.38206321404394
2018-01-01,-6.95,107.14999999999993,78.2540963781967
2018-01-01,-6.95,107.19999999999993,79.12612954234947
2018-01-01,-6.95,107.24999999999993,79.99816270650223
2018-01-01,-6.95,107.29999999999993,80.870195870655
2018-01-01,-6.95,107.34999999999992,81.74222903480776
2018-01-01,-6.95,107.39999999999992,82.61426219896053
2018-01-01,-6.95,107.44999999999992,83.48629536311329
2018-01-01,-6.9,106.0,38.175323556544065
2018-01-01,-6.9,106.05,40.372467890629444
2018-01-01,-6.9,106.1,42.569612224714824
2018-01-01,-6.9,106.14999999999999,44.766756558800196
2018-01-01,-6.9,106.19999999999999,46.963900892885576
2018-01-01,-6.9,106.24999999999999,49.16104522697096
2018-01-01,-6.9,106.29999999999998,51.358189561056335
2018-01-01,-6.9,106.34999999999998,53.555333895141715
2018-01-01,-6.9,106.39999999999998,55.752478229227094
2018-01-01,-6.9,106.44999999999997,57.94962256331247
2018-01-01,-6.9,106.49999999999997,60.146766897397846
2018-01-01,-6.9,106.54999999999997,62.343911231483226
2018-01-01,-6.9,106.59999999999997,64.5410555655686
2018-01-01,-6.9,106.64999999999996,66.73819989965398
2018-01-01,-6.9,106.69999999999996,68.93534423373936
2018-01-01,-6.9,106.74999999999996,71.13248856782474
2018-01-01,-6.9,106.79999999999995,71.95519044413881
2018-01-01,-6.9,106.84999999999995,72.77789232045171
2018-01-01,-6.9,106.89999999999995,73.60059419676462
2018-01-01,-6.9,106.94999999999995,74.42329607307751
2018-01-01,-6.9,106.99999999999994,75.24599794939041
2018-01-01,-6.9,107.04999999999994,76.06869982570332
2018-01-01,-6.9,107.09999999999994,76.89140170201621
2018-01-01,-6.9,107.14999999999993,77.71410357832912
2018-01-01,-6.9,107.19999999999993,78.53680545464202
2018-01-01,-6.9,107.24999999999993,79.35950733095491
2018-01-01,-6.9,107.29999999999993,80.18220920726782
2018-01-01,-6.9,107.34999999999992,81.00491108358072
2018-01-01,-6.9,107.39999999999992,81.82761295989363
2018-01-01,-6.9,107.44999999999992,82.65031483620652
2018-01-01,-6.8500000000000005,106.0,38.508689591765226
2018-01-01,-6.8500000000000005,106.05,40.67392002369262
2018-01-01,-6.8500000000000005,106.1,42.83915045562001
2018-01-01,-6.8500000000000005,106.14999999999999,45.00438088754739
2018-01-01,-6.8500000000000005,106.19999999999999,47.16961131947479
2018-01-01,-6.8500000000000005,106.24999999999999,49.33484175140217
2018-01-01,-6.8500000000000005,106.29999999999998,51.500072183329564
2018-01-01,-6.8500000000000005,106.34999999999998,53.665302615256955
2018-01-01,-6.8500000000000005,106.39999999999998,55.83053304718434
