,KABKOT,month,year,longitude,latitude,pm10,time
0,JAKARTA BARAT,1,2018,106.74999999999996,-6.158333333333336,47.29495030839942,2018-01-01
5,JAKARTA BARAT,2,2018,106.74999999999996,-6.158333333333336,55.981318394237626,2018-02-01
10,JAKARTA BARAT,3,2018,106.74999999999996,-6.158333333333336,63.225958143082636,2018-03-01
15,JAKARTA BARAT,4,2018,106.74999999999996,-6.158333333333336,86.8873959092299,2018-04-01
20,JAKARTA BARAT,5,2018,106.74999999999996,-6.158333333333336,96.98657343311861,2018-05-01
25,JAKARTA BARAT,6,2018,106.74999999999996,-6.158333333333336,99.03380330121728,2018-06-01
30,JAKARTA BARAT,7,2018,106.74999999999996,-6.158333333333336,100.39019228161017,2018-07-01
35,JAKARTA BARAT,8,2018,106.74999999999996,-6.158333333333336,82.65744068955729,2018-08-01
40,JAKARTA BARAT,9,2018,106.74999999999996,-6.158333333333336,85.48013440387884,2018-09-01
45,JAKARTA BARAT,10,2018,106.74999999999996,-6.158333333333336,85.23357251593504,2018-10-01
50,JAKARTA BARAT,11,2018,106.74999999999996,-6.158333333333336,82.77492165179889,2018-11-01
55,JAKARTA BARAT,12,2018,106.74999999999996,-6.158333333333336,59.635686100949265,2018-12-01
60,JAKARTA PUSAT,1,2018,106.84999999999997,-6.200000000000003,49.51001738954554,2018-01-01
65,JAKARTA PUSAT,2,2018,106.84999999999997,-6.200000000000003,58.06659635491459,2018-02-01
70,JAKARTA PUSAT,3,2018,106.84999999999997,-6.200000000000003,66.23721239643965,2018-03-01
75,JAKARTA PUSAT,4,2018,106.84999999999997,-6.200000000000003,88.42057383162826,2018-04-01
80,JAKARTA PUSAT,5,2018,106.84999999999997,-6.200000000000003,98.45955953362,2018-05-01
85,JAKARTA PUSAT,6,2018,106.84999999999997,-6.200000000000003,99.9438661608583,2018-06-01
90,JAKARTA PUSAT,7,2018,106.84999999999997,-6.200000000000003,100.5689869515457,2018-07-01
95,JAKARTA PUSAT,8,2018,106.84999999999997,-6.200000000000003,82.93507871570819,2018-08-01
100,JAKARTA PUSAT,9,2018,106.84999999999997,-6.200000000000003,86.00002567268098,2018-09-01
105,JAKARTA PUSAT,10,2018,106.84999999999997,-6.200000000000003,86.23668422321484,2018-10-01
110,JAKARTA PUSAT,11,2018,106.84999999999997,-6.200000000000003,84.5505408264565,2018-11-01
115,JAKARTA PUSAT,12,2018,106.84999999999997,-6.200000000000003,61.94517019035094,2018-12-01
120,JAKARTA SELATAN,1,2018,106.8083333333333,-6.283333333333336,49.99811030377944,2018-01-01
125,JAKARTA SELATAN,2,2018,106.8083333333333,-6.283333333333336,59.89194017027173,2018-02-01
130,JAKARTA SELATAN,3,2018,106.8083333333333,-6.283333333333336,68.66073380962183,2018-03-01
135,JAKARTA SELATAN,4,2018,106.8083333333333,-6.283333333333336,94.19326857261736,2018-04-01
140,JAKARTA SELATAN,5,2018,106.8083333333333,-6.283333333333336,104.95493758039994,2018-05-01
145,JAKARTA SELATAN,6,2018,106.8083333333333,-6.283333333333336,105.8917105408372,2018-06-01
150,JAKARTA SELATAN,7,2018,106.8083333333333,-6.283333333333336,106.14970378735681,2018-07-01
155,JAKARTA SELATAN,8,2018,106.8083333333333,-6.283333333333336,86.29334659677336,2018-08-01
160,JAKARTA SELATAN,9,2018,106.8083333333333,-6.283333333333336,89.24362685143997,2018-09-01
165,JAKARTA SELATAN,10,2018,106.8083333333333,-6.283333333333336,88.79238532581293,2018-10-01
170,JAKARTA SELATAN,11,2018,106.8083333333333,-6.283333333333336,87.39723528217188,2018-11-01
175,JAKARTA SELATAN,12,2018,106.8083333333333,-6.283333333333336,63.547329679872746,2018-12-01
180,JAKARTA TIMUR,1,2018,106.90999999999997,-6.2600000000000025,51.02963089479739,2018-01-01
185,JAKARTA TIMUR,2,2018,106.90999999999997,-6.2600000000000025,59.61227353405227,2018-02-01
190,JAKARTA TIMUR,3,2018,106.90999999999997,-6.2600000000000025,68.33288531519554,2018-03-01
195,JAKARTA TIMUR,4,2018,106.90999999999997,-6.2600000000000025,89.96547698103684,2018-04-01
200,JAKARTA TIMUR,5,2018,106.90999999999997,-6.2600000000000025,100.02715012784033,2018-05-01
205,JAKARTA TIMUR,6,2018,106.90999999999997,-6.2600000000000025,100.81304773024345,2018-06-01
210,JAKARTA TIMUR,7,2018,106.90999999999997,-6.2600000000000025,100.62092070484357,2018-07-01
215,JAKARTA TIMUR,8,2018,106.90999999999997,-6.2600000000000025,82.71282266214679,2018-08-01
