,KABKOT,month,year,longitude,latitude,pm2p5,time,RH,t2m,tp,ispa,so2
0,JAKARTA BARAT,1,2018,106.74999999999996,-6.158333333333336,32.9903469339916,2018-01-01,81.91416015625,27.059569905598977,7.256567077711253,35036,63.57745799296609
1,JAKARTA BARAT,2,2018,106.74999999999996,-6.158333333333336,39.14552057220812,2018-02-01,85.60763346354155,26.742241007487035,9.96540218591666,1484,69.89625058676097
2,JAKARTA BARAT,3,2018,106.74999999999996,-6.158333333333336,44.44306457271591,2018-03-01,83.61339619954417,27.245900878906298,7.343809191758339,1842,88.28705103922816
3,JAKARTA BARAT,4,2018,106.74999999999996,-6.158333333333336,61.21402409162463,2018-04-01,83.66941630045575,27.65983866373702,6.208610503623864,2402,106.55995726107682
4,JAKARTA BARAT,5,2018,106.74999999999996,-6.158333333333336,68.22975241189208,2018-05-01,80.34615885416666,28.083251342773465,2.8957998317977047,1127,118.13367132807434
5,JAKARTA BARAT,6,2018,106.74999999999996,-6.158333333333336,69.65852060897909,2018-06-01,79.28447265624986,27.91437723795577,2.969004375239229,1414,115.97892626791764
6,JAKARTA BARAT,7,2018,106.74999999999996,-6.158333333333336,70.59047564360489,2018-07-01,71.59750162760403,27.75563374837244,0.4118715288738676,1134,120.37928327972364
7,JAKARTA BARAT,8,2018,106.74999999999996,-6.158333333333336,58.169737936116455,2018-08-01,69.81239420572886,27.94079589843756,0.5435300618410409,1478,97.5393657215962
8,JAKARTA BARAT,9,2018,106.74999999999996,-6.158333333333336,60.512664184189305,2018-09-01,68.86245422363245,28.23247294108079,1.2984598800540257,1270,95.488475316399
9,JAKARTA BARAT,10,2018,106.74999999999996,-6.158333333333336,60.23679925131674,2018-10-01,72.79044799804666,28.67855997721359,2.087086786826477,1052,87.41862501950129
10,JAKARTA BARAT,11,2018,106.74999999999996,-6.158333333333336,58.3013135477565,2018-11-01,81.83207906087229,27.742085978190147,7.533491955449205,885,91.67400779214516
