time,latitude,longitude,d2m
2018-01-01,-7.0,106.0,23.86468505859375
2018-01-01,-7.0,106.05,23.74554443359375
2018-01-01,-7.0,106.1,23.62640380859375
2018-01-01,-7.0,106.14999999999999,23.50726318359375
2018-01-01,-7.0,106.19999999999999,23.38812255859375
2018-01-01,-7.0,106.24999999999999,23.268981933593807
2018-01-01,-7.0,106.29999999999998,23.02327880859383
2018-01-01,-7.0,106.34999999999998,22.777575683593852
2018-01-01,-7.0,106.39999999999998,22.531872558593875
2018-01-01,-7.0,106.44999999999997,22.286169433593898
2018-01-01,-7.0,106.49999999999997,22.040466308593864
2018-01-01,-7.0,106.54999999999997,21.87327270507825
2018-01-01,-7.0,106.59999999999997,21.706079101562636
2018-01-01,-7.0,106.64999999999996,21.538885498047023
2018-01-01,-7.0,106.69999999999996,21.37169189453141
2018-01-01,-7.0,106.74999999999996,21.204498291015796
2018-01-01,-7.0,106.79999999999995,21.18730468749999
2018-01-01,-7.0,106.84999999999995,21.17011108398441
2018-01-01,-7.0,106.89999999999995,21.152917480468773
2018-01-01,-7.0,106.94999999999995,21.135723876953136
2018-01-01,-7.0,106.99999999999994,21.1185302734375
2018-01-01,-7.0,107.04999999999994,20.875573730469057
2018-01-01,-7.0,107.09999999999994,20.63261718750033
2018-01-01,-7.0,107.14999999999993,20.389660644531546
2018-01-01,-7.0,107.19999999999993,20.14670410156282
2018-01-01,-7.0,107.24999999999993,19.90374755859409
2018-01-01,-7.0,107.29999999999993,19.74866333007833
2018-01-01,-7.0,107.34999999999992,19.59357910156274
2018-01-01,-7.0,107.39999999999992,19.438494873047148
2018-01-01,-7.0,107.44999999999992,19.2834106445315
2018-01-01,-6.95,106.0,23.794348144531227
2018-01-01,-6.95,106.05,23.664273681640623
2018-01-01,-6.95,106.1,23.534199218750018
2018-01-01,-6.95,106.14999999999999,23.404124755859414
2018-01-01,-6.95,106.19999999999999,23.27405029296881
2018-01-01,-6.95,106.24999999999999,23.143975830078205
2018-01-01,-6.95,106.29999999999998,22.902567138671998
2018-01-01,-6.95,106.34999999999998,22.661158447265734
2018-01-01,-6.95,106.39999999999998,22.419749755859527
2018-01-01,-6.95,106.44999999999997,22.178341064453264
2018-01-01,-6.95,106.49999999999997,21.936932373047
2018-01-01,-6.95,106.54999999999997,21.79231811523448
2018-01-01,-6.95,106.59999999999997,21.647703857422016
2018-01-01,-6.95,106.64999999999996,21.503089599609496
2018-01-01,-6.95,106.69999999999996,21.358475341797032
2018-01-01,-6.95,106.74999999999996,21.21386108398451
2018-01-01,-6.95,106.79999999999995,21.196749267578127
2018-01-01,-6.95,106.84999999999995,21.179637451171914
2018-01-01,-6.95,106.89999999999995,21.162525634765643
2018-01-01,-6.95,106.94999999999995,21.145413818359373
2018-01-01,-6.95,106.99999999999994,21.128302001953102
2018-01-01,-6.95,107.04999999999994,20.961826171875202
2018-01-01,-6.95,107.09999999999994,20.795350341797075
2018-01-01,-6.95,107.14999999999993,20.628874511718948
2018-01-01,-6.95,107.19999999999993,20.462398681640877
2018-01-01,-6.95,107.24999999999993,20.29592285156275
2018-01-01,-6.95,107.29999999999993,20.15357666015649
2018-01-01,-6.95,107.34999999999992,20.011230468750227
2018-01-01,-6.95,107.39999999999992,19.868884277344023
2018-01-01,-6.95,107.44999999999992,19.72653808593776
2018-01-01,-6.9,106.0,23.72401123046876
2018-01-01,-6.9,106.05,23.583002929687495
2018-01-01,-6.9,106.1,23.441994628906286
2018-01-01,-6.9,106.14999999999999,23.30098632812502
2018-01-01,-6.9,106.19999999999999,23.159978027343755
2018-01-01,-6.9,106.24999999999999,23.018969726562545
2018-01-01,-6.9,106.29999999999998,22.781855468750052
2018-01-01,-6.9,106.34999999999998,22.544741210937616
2018-01-01,-6.9,106.39999999999998,22.307626953125123
2018-01-01,-6.9,106.44999999999997,22.07051269531263
2018-01-01,-6.9,106.49999999999997,21.833398437500136
2018-01-01,-6.9,106.54999999999997,21.71136352539071
2018-01-01,-6.9,106.59999999999997,21.58932861328134
2018-01-01,-6.9,106.64999999999996,21.467293701171968
2018-01-01,-6.9,106.69999999999996,21.345258789062598
2018-01-01,-6.9,106.74999999999996,21.223223876953227
2018-01-01,-6.9,106.79999999999995,21.206193847656266
2018-01-01,-6.9,106.84999999999995,21.18916381835936
2018-01-01,-6.9,106.89999999999995,21.172133789062514
2018-01-01,-6.9,106.94999999999995,21.155103759765666
2018-01-01,-6.9,106.99999999999994,21.13807373046876
2018-01-01,-6.9,107.04999999999994,21.048078613281348
2018-01-01,-6.9,107.09999999999994,20.958083496093877
2018-01-01,-6.9,107.14999999999993,20.86808837890635
2018-01-01,-6.9,107.19999999999993,20.77809326171888
2018-01-01,-6.9,107.24999999999993,20.688098144531352
2018-01-01,-6.9,107.29999999999993,20.558489990234534
2018-01-01,-6.9,107.34999999999992,20.42888183593766
2018-01-01,-6.9,107.39999999999992,20.29927368164084
2018-01-01,-6.9,107.44999999999992,20.169665527343966
2018-01-01,-6.8500000000000005,106.0,23.65367431640624
2018-01-01,-6.8500000000000005,106.05,23.501732177734368
2018-01-01,-6.8500000000000005,106.1,23.349790039062498
2018-01-01,-6.8500000000000005,106.14999999999999,23.197847900390627
2018-01-01,-6.8500000000000005,106.19999999999999,23.045905761718814
2018-01-01,-6.8500000000000005,106.24999999999999,22.893963623046943
2018-01-01,-6.8500000000000005,106.29999999999998,22.66114379882822
2018-01-01,-6.8500000000000005,106.34999999999998,22.42832397460944
2018-01-01,-6.8500000000000005,106.39999999999998,22.195504150390718
