,KABKOT,month,longitude,latitude,year,pm10,time
0,JAKARTA BARAT,1,106.74999999999996,-6.158333333333336,2020.0,54.82074750649311,2020-01-01 09:36:00
1,JAKARTA BARAT,2,106.74999999999996,-6.158333333333336,2020.0,58.284397781684795,2020-02-01 09:36:00
2,JAKARTA BARAT,3,106.74999999999996,-6.158333333333336,2020.0,65.68920328121672,2020-02-29 14:24:00
3,JAKARTA BARAT,4,106.74999999999996,-6.158333333333336,2020.0,79.53722921586805,2020-03-31 14:24:00
4,JAKARTA BARAT,5,106.74999999999996,-6.158333333333336,2020.0,87.77577606424965,2020-04-30 14:24:00
5,JAKARTA BARAT,6,106.74999999999996,-6.158333333333336,2020.0,90.32480316603953,2020-05-31 14:24:00
6,JAKARTA BARAT,7,106.74999999999996,-6.158333333333336,2020.0,89.09466596781145,2020-06-30 14:24:00
7,JAKARTA BARAT,8,106.74999999999996,-6.158333333333336,2020.0,85.09961548774952,2020-07-31 14:24:00
8,JAKARTA BARAT,9,106.74999999999996,-6.158333333333336,2020.0,82.61980763278763,2020-08-31 14:24:00
9,JAKARTA BARAT,10,106.74999999999996,-6.158333333333336,2020.0,81.9946510595627,2020-09-30 14:24:00
10,JAKARTA BARAT,11,106.74999999999996,-6.158333333333336,2020.0,71.17140689298111,2020-10-31 14:24:00
11,JAKARTA BARAT,12,106.74999999999996,-6.158333333333336,2020.0,58.05823318705207,2020-11-30 14:24:00
12,JAKARTA PUSAT,1,106.84999999999995,-6.200000000000003,2020.0,56.956311405305726,2020-01-01 09:36:00
13,JAKARTA PUSAT,2,106.84999999999995,-6.200000000000003,2020.0,60.143346694019556,2020-02-01 09:36:00
14,JAKARTA PUSAT,3,106.84999999999995,-6.200000000000003,2020.0,68.40632657419594,2020-02-29 14:24:00
15,JAKARTA PUSAT,4,106.84999999999995,-6.200000000000003,2020.0,81.6521268542192,2020-03-31 14:24:00
16,JAKARTA PUSAT,5,106.84999999999995,-6.200000000000003,2020.0,89.38206383391066,2020-04-30 14:24:00
17,JAKARTA PUSAT,6,106.84999999999995,-6.200000000000003,2020.0,91.47418744722472,2020-05-31 14:24:00
18,JAKARTA PUSAT,7,106.84999999999995,-6.200000000000003,2020.0,89.6869274669161,2020-06-30 14:24:00
19,JAKARTA PUSAT,8,106.84999999999995,-6.200000000000003,2020.0,85.34075225460148,2020-07-31 14:24:00
20,JAKARTA PUSAT,9,106.84999999999995,-6.200000000000003,2020.0,83.1446651593158,2020-08-31 14:24:00
21,JAKARTA PUSAT,10,106.84999999999995,-6.200000000000003,2020.0,82.81873020503,2020-09-30 14:24:00
22,JAKARTA PUSAT,11,106.84999999999995,-6.200000000000003,2020.0,72.9155467051142,2020-10-31 14:24:00
23,JAKARTA PUSAT,12,106.84999999999995,-6.200000000000003,2020.0,60.31475567761875,2020-11-30 14:24:00
24,JAKARTA SELATAN,1,106.8083333333333,-6.283333333333336,2020.0,58.78076458021261,2020-01-01 09:36:00
25,JAKARTA SELATAN,2,106.8083333333333,-6.283333333333336,2020.0,62.68237112324227,2020-02-01 09:36:00
26,JAKARTA SELATAN,3,106.8083333333333,-6.283333333333336,2020.0,70.9172460099256,2020-02-29 14:24:00
27,JAKARTA SELATAN,4,106.8083333333333,-6.283333333333336,2020.0,85.78437515597679,2020-03-31 14:24:00
28,JAKARTA SELATAN,5,106.8083333333333,-6.283333333333336,2020.0,94.7248907450739,2020-04-30 14:24:00
29,JAKARTA SELATAN,6,106.8083333333333,-6.283333333333336,2020.0,96.76187525897812,2020-05-31 14:24:00
30,JAKARTA SELATAN,7,106.8083333333333,-6.283333333333336,2020.0,95.21370078344624,2020-06-30 14:24:00
31,JAKARTA SELATAN,8,106.8083333333333,-6.283333333333336,2020.0,90.01920282525452,2020-07-31 14:24:00
32,JAKARTA SELATAN,9,106.8083333333333,-6.283333333333336,2020.0,86.69814594390209,2020-08-31 14:24:00
33,JAKARTA SELATAN,10,106.8083333333333,-6.283333333333336,2020.0,85.1771240985138,2020-09-30 14:24:00
34,JAKARTA SELATAN,11,106.8083333333333,-6.283333333333336,2020.0,74.96776064183943,2020-10-31 14:24:00
35,JAKARTA SELATAN,12,106.8083333333333,-6.283333333333336,2020.0,61.98785674112619,2020-11-30 14:24:00
36,JAKARTA TIMUR,1,106.90999999999997,-6.2600000000000025,2020.0,58.59920318703357,2020-01-01 09:36:00
37,JAKARTA TIMUR,2,106.90999999999997,-6.2600000000000025,2020.0,61.636610506354984,2020-02-01 09:36:00
38,JAKARTA TIMUR,3,106.90999999999997,-6.2600000000000025,2020.0,70.30009174944958,2020-02-29 14:24:00
39,JAKARTA TIMUR,4,106.90999999999997,-6.2600000000000025,2020.0,83.24701310537415,2020-03-31 14:24:00
40,JAKARTA TIMUR,5,106.90999999999997,-6.2600000000000025,2020.0,90.79328788033213,2020-04-30 14:24:00
41,JAKARTA TIMUR,6,106.90999999999997,-6.2600000000000025,2020.0,92.47373539741149,2020-05-31 14:24:00
42,JAKARTA TIMUR,7,106.90999999999997,-6.2600000000000025,2020.0,90.32949917156158,2020-06-30 14:24:00
43,JAKARTA TIMUR,8,106.90999999999997,-6.2600000000000025,2020.0,85.43475324150702,2020-07-31 14:24:00
44,JAKARTA TIMUR,9,106.90999999999997,-6.2600000000000025,2020.0,83.10933242382288,2020-08-31 14:24:00
45,JAKARTA TIMUR,10,106.90999999999997,-6.2600000000000025,2020.0,82.73955181367545,2020-09-30 14:24:00
46,JAKARTA TIMUR,11,106.90999999999997,-6.2600000000000025,2020.0,73.68726129396829,2020-10-31 14:24:00
47,JAKARTA TIMUR,12,106.90999999999997,-6.2600000000000025,2020.0,61.715366656637414,2020-11-30 14:24:00
48,JAKARTA UTARA,1,106.89166666666662,-6.125000000000003,2020.0,54.45826581368994,2020-01-01 09:36:00
49,JAKARTA UTARA,2,106.89166666666662,-6.125000000000003,2020.0,56.91474914668371,2020-02-01 09:36:00
50,JAKARTA UTARA,3,106.89166666666662,-6.125000000000003,2020.0,64.8818174017802,2020-02-29 14:24:00
51,JAKARTA UTARA,4,106.89166666666662,-6.125000000000003,2020.0,76.44695414062691,2020-03-31 14:24:00
52,JAKARTA UTARA,5,106.89166666666662,-6.125000000000003,2020.0,83.00617929061725,2020-04-30 14:24:00
53,JAKARTA UTARA,6,106.89166666666662,-6.125000000000003,2020.0,85.12635804436432,2020-05-31 14:24:00
54,JAKARTA UTARA,7,106.89166666666662,-6.125000000000003,2020.0,83.1814074765543,2020-06-30 14:24:00
55,JAKARTA UTARA,8,106.89166666666662,-6.125000000000003,2020.0,79.55886696701644,2020-07-31 14:24:00
56,JAKARTA UTARA,9,106.89166666666662,-6.125000000000003,2020.0,78.26801515007249,2020-08-31 14:24:00
57,JAKARTA UTARA,10,106.89166666666662,-6.125000000000003,2020.0,79.09961578908954,2020-09-30 14:24:00
58,JAKARTA UTARA,11,106.89166666666662,-6.125000000000003,2020.0,69.70574279800265,2020-10-31 14:24:00
59,JAKARTA UTARA,12,106.89166666666662,-6.125000000000003,2020.0,57.70430906023206,2020-11-30 14:24:00
