time,latitude,longitude,pm10
2018-01-01,-7.0,106.0,30.29419914923892
2018-01-01,-7.0,106.05,31.531783880230485
2018-01-01,-7.0,106.1,32.76936861122204
2018-01-01,-7.0,106.14999999999999,34.006953342213606
2018-01-01,-7.0,106.19999999999999,35.24453807320517
2018-01-01,-7.0,106.24999999999999,36.482122804196734
2018-01-01,-7.0,106.29999999999998,37.7197075351883
2018-01-01,-7.0,106.34999999999998,38.95729226617986
2018-01-01,-7.0,106.39999999999998,40.19487699717142
2018-01-01,-7.0,106.44999999999997,41.432461728162984
2018-01-01,-7.0,106.49999999999997,42.67004645915454
2018-01-01,-7.0,106.54999999999997,43.907631190146105
2018-01-01,-7.0,106.59999999999997,45.14521592113768
2018-01-01,-7.0,106.64999999999996,46.38280065212924
2018-01-01,-7.0,106.69999999999996,47.6203853831208
2018-01-01,-7.0,106.74999999999996,48.857970114112355
2018-01-01,-7.0,106.79999999999995,50.058128901278415
2018-01-01,-7.0,106.84999999999995,51.25828768844445
2018-01-01,-7.0,106.89999999999995,52.45844647561048
2018-01-01,-7.0,106.94999999999995,53.658605262776504
2018-01-01,-7.0,106.99999999999994,54.858764049942536
2018-01-01,-7.0,107.04999999999994,56.058922837108575
2018-01-01,-7.0,107.09999999999994,57.2590816242746
2018-01-01,-7.0,107.14999999999993,58.45924041144063
2018-01-01,-7.0,107.19999999999993,59.65939919860666
2018-01-01,-7.0,107.24999999999993,60.859557985772696
2018-01-01,-7.0,107.29999999999993,62.059716772938714
2018-01-01,-7.0,107.34999999999992,63.25987556010475
2018-01-01,-7.0,107.39999999999992,64.46003434727078
2018-01-01,-7.0,107.44999999999992,65.66019313443681
2018-01-01,-6.95,106.0,30.482696433686844
2018-01-01,-6.95,106.05,31.708990245367783
2018-01-01,-6.95,106.1,32.935284057048726
2018-01-01,-6.95,106.14999999999999,34.16157786872966
2018-01-01,-6.95,106.19999999999999,35.3878716804106
2018-01-01,-6.95,106.24999999999999,36.61416549209154
2018-01-01,-6.95,106.29999999999998,37.84045930377247
2018-01-01,-6.95,106.34999999999998,39.06675311545341
2018-01-01,-6.95,106.39999999999998,40.29304692713435
2018-01-01,-6.95,106.44999999999997,41.51934073881529
2018-01-01,-6.95,106.49999999999997,42.74563455049623
2018-01-01,-6.95,106.54999999999997,43.97192836217716
2018-01-01,-6.95,106.59999999999997,45.1982221738581
2018-01-01,-6.95,106.64999999999996,46.42451598553904
2018-01-01,-6.95,106.69999999999996,47.65080979721998
2018-01-01,-6.95,106.74999999999996,48.87710360890092
2018-01-01,-6.95,106.79999999999995,50.04520488682722
2018-01-01,-6.95,106.84999999999995,51.21330616475348
2018-01-01,-6.95,106.89999999999995,52.381407442679745
2018-01-01,-6.95,106.94999999999995,53.549508720606
2018-01-01,-6.95,106.99999999999994,54.71760999853226
2018-01-01,-6.95,107.04999999999994,55.88571127645852
2018-01-01,-6.95,107.09999999999994,57.05381255438478
2018-01-01,-6.95,107.14999999999993,58.221913832311046
2018-01-01,-6.95,107.19999999999993,59.3900151102373
2018-01-01,-6.95,107.24999999999993,60.558116388163555
2018-01-01,-6.95,107.29999999999993,61.72621766608982
2018-01-01,-6.95,107.34999999999992,62.89431894401607
2018-01-01,-6.95,107.39999999999992,64.06242022194233
2018-01-01,-6.95,107.44999999999992,65.2305214998686
2018-01-01,-6.9,106.0,30.67119371813476
2018-01-01,-6.9,106.05,31.886196610505074
2018-01-01,-6.9,106.1,33.10119950287539
2018-01-01,-6.9,106.14999999999999,34.3162023952457
2018-01-01,-6.9,106.19999999999999,35.53120528761601
2018-01-01,-6.9,106.24999999999999,36.746208179986326
2018-01-01,-6.9,106.29999999999998,37.96121107235664
2018-01-01,-6.9,106.34999999999998,39.176213964726955
2018-01-01,-6.9,106.39999999999998,40.39121685709727
2018-01-01,-6.9,106.44999999999997,41.606219749467584
2018-01-01,-6.9,106.49999999999997,42.8212226418379
2018-01-01,-6.9,106.54999999999997,44.036225534208214
2018-01-01,-6.9,106.59999999999997,45.25122842657853
2018-01-01,-6.9,106.64999999999996,46.46623131894884
2018-01-01,-6.9,106.69999999999996,47.68123421131916
2018-01-01,-6.9,106.74999999999996,48.89623710368947
2018-01-01,-6.9,106.79999999999995,50.03228087237603
2018-01-01,-6.9,106.84999999999995,51.16832464106252
2018-01-01,-6.9,106.89999999999995,52.304368409749
2018-01-01,-6.9,106.94999999999995,53.44041217843549
2018-01-01,-6.9,106.99999999999994,54.57645594712198
2018-01-01,-6.9,107.04999999999994,55.71249971580847
2018-01-01,-6.9,107.09999999999994,56.84854348449496
2018-01-01,-6.9,107.14999999999993,57.984587253181445
2018-01-01,-6.9,107.19999999999993,59.120631021867936
2018-01-01,-6.9,107.24999999999993,60.25667479055442
2018-01-01,-6.9,107.29999999999993,61.39271855924091
2018-01-01,-6.9,107.34999999999992,62.5287623279274
2018-01-01,-6.9,107.39999999999992,63.664806096613894
2018-01-01,-6.9,107.44999999999992,64.80084986530038
2018-01-01,-6.8500000000000005,106.0,30.859691002582675
2018-01-01,-6.8500000000000005,106.05,32.06340297564236
2018-01-01,-6.8500000000000005,106.1,33.26711494870205
2018-01-01,-6.8500000000000005,106.14999999999999,34.47082692176174
2018-01-01,-6.8500000000000005,106.19999999999999,35.67453889482143
2018-01-01,-6.8500000000000005,106.24999999999999,36.87825086788113
2018-01-01,-6.8500000000000005,106.29999999999998,38.08196284094082
2018-01-01,-6.8500000000000005,106.34999999999998,39.28567481400051
2018-01-01,-6.8500000000000005,106.39999999999998,40.4893867870602
