,name,month,longitude,latitude,year,pm2p5,time
0,Cakung,1,106.94999999999996,-6.200000000000003,2020.0,40.181207272856426,2020-01-01 09:36:00
1,Cakung,2,106.94999999999996,-6.200000000000003,2020.0,41.98443620021917,2020-02-01 09:36:00
2,Cakung,3,106.94999999999996,-6.200000000000003,2020.0,48.42435073607966,2020-02-29 14:24:00
3,Cakung,4,106.94999999999996,-6.200000000000003,2020.0,56.78523324329926,2020-03-31 14:24:00
4,Cakung,5,106.94999999999996,-6.200000000000003,2020.0,61.247370112483736,2020-04-30 14:24:00
5,Cakung,6,106.94999999999996,-6.200000000000003,2020.0,62.41855239134607,2020-05-31 14:24:00
6,Cakung,7,106.94999999999996,-6.200000000000003,2020.0,60.68592790598042,2020-06-30 14:24:00
7,Cakung,8,106.94999999999996,-6.200000000000003,2020.0,57.87881286778562,2020-07-31 14:24:00
8,Cakung,9,106.94999999999996,-6.200000000000003,2020.0,56.903307623202764,2020-08-31 14:24:00
9,Cakung,10,106.94999999999996,-6.200000000000003,2020.0,57.41383002858976,2020-09-30 14:24:00
10,Cakung,11,106.94999999999996,-6.200000000000003,2020.0,50.9772820886196,2020-10-31 14:24:00
11,Cakung,12,106.94999999999996,-6.200000000000003,2020.0,42.566915446092366,2020-11-30 14:24:00
12,Cengkareng,1,106.74999999999996,-6.150000000000003,2020.0,38.30122807357789,2020-01-01 09:36:00
13,Cengkareng,2,106.74999999999996,-6.150000000000003,2020.0,40.8207192137406,2020-02-01 09:36:00
14,Cengkareng,3,106.74999999999996,-6.150000000000003,2020.0,46.30776661684799,2020-02-29 14:24:00
15,Cengkareng,4,106.74999999999996,-6.150000000000003,2020.0,56.194772852790514,2020-03-31 14:24:00
16,Cengkareng,5,106.74999999999996,-6.150000000000003,2020.0,61.79696001140603,2020-04-30 14:24:00
17,Cengkareng,6,106.74999999999996,-6.150000000000003,2020.0,63.618977392820376,2020-05-31 14:24:00
18,Cengkareng,7,106.74999999999996,-6.150000000000003,2020.0,62.68198816883309,2020-06-30 14:24:00
19,Cengkareng,8,106.74999999999996,-6.150000000000003,2020.0,60.08444145777473,2020-07-31 14:24:00
20,Cengkareng,9,106.74999999999996,-6.150000000000003,2020.0,58.42807908606983,2020-08-31 14:24:00
21,Cengkareng,10,106.74999999999996,-6.150000000000003,2020.0,58.24710084922837,2020-09-30 14:24:00
22,Cengkareng,11,106.74999999999996,-6.150000000000003,2020.0,50.27889379505182,2020-10-31 14:24:00
23,Cengkareng,12,106.74999999999996,-6.150000000000003,2020.0,40.71582425879613,2020-11-30 14:24:00
24,Cilandak,1,106.79999999999995,-6.3000000000000025,2020.0,41.21916001327997,2020-01-01 09:36:00
25,Cilandak,2,106.79999999999995,-6.3000000000000025,2020.0,44.08476424030052,2020-02-01 09:36:00
26,Cilandak,3,106.79999999999995,-6.3000000000000025,2020.0,50.03514070554352,2020-02-29 14:24:00
27,Cilandak,4,106.79999999999995,-6.3000000000000025,2020.0,60.768422378269726,2020-03-31 14:24:00
28,Cilandak,5,106.79999999999995,-6.3000000000000025,2020.0,66.99908864504857,2020-04-30 14:24:00
29,Cilandak,6,106.79999999999995,-6.3000000000000025,2020.0,68.4041037466452,2020-05-31 14:24:00
30,Cilandak,7,106.79999999999995,-6.3000000000000025,2020.0,67.28007233292143,2020-06-30 14:24:00
31,Cilandak,8,106.79999999999995,-6.3000000000000025,2020.0,63.690252888845706,2020-07-31 14:24:00
32,Cilandak,9,106.79999999999995,-6.3000000000000025,2020.0,61.23807603593809,2020-08-31 14:24:00
33,Cilandak,10,106.79999999999995,-6.3000000000000025,2020.0,60.177991082192875,2020-09-30 14:24:00
34,Cilandak,11,106.79999999999995,-6.3000000000000025,2020.0,52.74826354321577,2020-10-31 14:24:00
35,Cilandak,12,106.79999999999995,-6.3000000000000025,2020.0,43.44332263891029,2020-11-30 14:24:00
36,Cilincing,1,106.94999999999996,-6.125000000000003,2020.0,38.218679113318345,2020-01-01 09:36:00
37,Cilincing,2,106.94999999999996,-6.125000000000003,2020.0,39.74148855038606,2020-02-01 09:36:00
38,Cilincing,3,106.94999999999996,-6.125000000000003,2020.0,45.82137595280738,2020-02-29 14:24:00
39,Cilincing,4,106.94999999999996,-6.125000000000003,2020.0,53.50957938669446,2020-03-31 14:24:00
40,Cilincing,5,106.94999999999996,-6.125000000000003,2020.0,57.51238472129312,2020-04-30 14:24:00
41,Cilincing,6,106.94999999999996,-6.125000000000003,2020.0,58.8298749863262,2020-05-31 14:24:00
42,Cilincing,7,106.94999999999996,-6.125000000000003,2020.0,57.17190859400163,2020-06-30 14:24:00
43,Cilincing,8,106.94999999999996,-6.125000000000003,2020.0,54.846812886922955,2020-07-31 14:24:00
44,Cilincing,9,106.94999999999996,-6.125000000000003,2020.0,54.25491796273816,2020-08-31 14:24:00
45,Cilincing,10,106.94999999999996,-6.125000000000003,2020.0,55.29453259859757,2020-09-30 14:24:00
46,Cilincing,11,106.94999999999996,-6.125000000000003,2020.0,48.862072225356975,2020-10-31 14:24:00
47,Cilincing,12,106.94999999999996,-6.125000000000003,2020.0,40.57118223451297,2020-11-30 14:24:00
48,Cipayung,1,106.89999999999995,-6.325000000000002,2020.0,41.812792580197886,2020-01-01 09:36:00
49,Cipayung,2,106.89999999999995,-6.325000000000002,2020.0,44.212932951204266,2020-02-01 09:36:00
50,Cipayung,3,106.89999999999995,-6.325000000000002,2020.0,50.47802365679129,2020-02-29 14:24:00
51,Cipayung,4,106.89999999999995,-6.325000000000002,2020.0,60.19294149428633,2020-03-31 14:24:00
52,Cipayung,5,106.89999999999995,-6.325000000000002,2020.0,65.71728149928988,2020-04-30 14:24:00
53,Cipayung,6,106.89999999999995,-6.325000000000002,2020.0,66.77562115875547,2020-05-31 14:24:00
54,Cipayung,7,106.89999999999995,-6.325000000000002,2020.0,65.22321745716776,2020-06-30 14:24:00
55,Cipayung,8,106.89999999999995,-6.325000000000002,2020.0,61.49315565262667,2020-07-31 14:24:00
56,Cipayung,9,106.89999999999995,-6.325000000000002,2020.0,59.409063455862835,2020-08-31 14:24:00
57,Cipayung,10,106.89999999999995,-6.325000000000002,2020.0,58.85469908212315,2020-09-30 14:24:00
58,Cipayung,11,106.89999999999995,-6.325000000000002,2020.0,52.3623301680877,2020-10-31 14:24:00
59,Cipayung,12,106.89999999999995,-6.325000000000002,2020.0,43.829399500316754,2020-11-30 14:24:00
60,Jagakarsa,1,106.82499999999996,-6.325000000000002,2020.0,41.4680903419634,2020-01-01 09:36:00
