time,latitude,longitude,pm10
2018-01-01,-7.0,106.0,9.088259744771676e-08
2018-01-01,-7.0,106.05,9.459535164069146e-08
2018-01-01,-7.0,106.1,9.830810583366613e-08
2018-01-01,-7.0,106.14999999999999,1.0202086002664083e-07
2018-01-01,-7.0,106.19999999999999,1.0573361421961551e-07
2018-01-01,-7.0,106.24999999999999,1.094463684125902e-07
2018-01-01,-7.0,106.29999999999998,1.1315912260556489e-07
2018-01-01,-7.0,106.34999999999998,1.1687187679853959e-07
2018-01-01,-7.0,106.39999999999998,1.2058463099151427e-07
2018-01-01,-7.0,106.44999999999997,1.2429738518448895e-07
2018-01-01,-7.0,106.49999999999997,1.2801013937746363e-07
2018-01-01,-7.0,106.54999999999997,1.3172289357043834e-07
2018-01-01,-7.0,106.59999999999997,1.3543564776341302e-07
2018-01-01,-7.0,106.64999999999996,1.391484019563877e-07
2018-01-01,-7.0,106.69999999999996,1.4286115614936238e-07
2018-01-01,-7.0,106.74999999999996,1.4657391034233706e-07
2018-01-01,-7.0,106.79999999999995,1.5017438670383525e-07
2018-01-01,-7.0,106.84999999999995,1.5377486306533334e-07
2018-01-01,-7.0,106.89999999999995,1.5737533942683142e-07
2018-01-01,-7.0,106.94999999999995,1.6097581578832953e-07
2018-01-01,-7.0,106.99999999999994,1.645762921498276e-07
2018-01-01,-7.0,107.04999999999994,1.6817676851132572e-07
2018-01-01,-7.0,107.09999999999994,1.717772448728238e-07
2018-01-01,-7.0,107.14999999999993,1.753777212343219e-07
2018-01-01,-7.0,107.19999999999993,1.7897819759581997e-07
2018-01-01,-7.0,107.24999999999993,1.8257867395731808e-07
2018-01-01,-7.0,107.29999999999993,1.8617915031881614e-07
2018-01-01,-7.0,107.34999999999992,1.8977962668031427e-07
2018-01-01,-7.0,107.39999999999992,1.9338010304181233e-07
2018-01-01,-7.0,107.44999999999992,1.9698057940331044e-07
2018-01-01,-6.95,106.0,9.144808930106053e-08
2018-01-01,-6.95,106.05,9.512697073610334e-08
2018-01-01,-6.95,106.1,9.880585217114617e-08
2018-01-01,-6.95,106.14999999999999,1.0248473360618897e-07
2018-01-01,-6.95,106.19999999999999,1.061636150412318e-07
2018-01-01,-6.95,106.24999999999999,1.0984249647627461e-07
2018-01-01,-6.95,106.29999999999998,1.1352137791131741e-07
2018-01-01,-6.95,106.34999999999998,1.1720025934636022e-07
2018-01-01,-6.95,106.39999999999998,1.2087914078140305e-07
2018-01-01,-6.95,106.44999999999997,1.2455802221644587e-07
2018-01-01,-6.95,106.49999999999997,1.282369036514887e-07
2018-01-01,-6.95,106.54999999999997,1.319157850865315e-07
2018-01-01,-6.95,106.59999999999997,1.355946665215743e-07
2018-01-01,-6.95,106.64999999999996,1.3927354795661712e-07
2018-01-01,-6.95,106.69999999999996,1.4295242939165992e-07
2018-01-01,-6.95,106.74999999999996,1.4663131082670275e-07
2018-01-01,-6.95,106.79999999999995,1.501356146604817e-07
2018-01-01,-6.95,106.84999999999995,1.5363991849426044e-07
2018-01-01,-6.95,106.89999999999995,1.5714422232803924e-07
2018-01-01,-6.95,106.94999999999995,1.6064852616181802e-07
2018-01-01,-6.95,106.99999999999994,1.6415282999559677e-07
2018-01-01,-6.95,107.04999999999994,1.6765713382937558e-07
2018-01-01,-6.95,107.09999999999994,1.7116143766315435e-07
2018-01-01,-6.95,107.14999999999993,1.7466574149693313e-07
2018-01-01,-6.95,107.19999999999993,1.781700453307119e-07
2018-01-01,-6.95,107.24999999999993,1.8167434916449069e-07
2018-01-01,-6.95,107.29999999999993,1.8517865299826946e-07
2018-01-01,-6.95,107.34999999999992,1.8868295683204822e-07
