,KABKOT,month,geometry,longitude,latitude,year,t2m,time
0,JAKARTA BARAT,1,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,27.052583129882837,2020-01-01 09:36:00
1,JAKARTA BARAT,2,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,26.963169677734417,2020-02-01 09:36:00
2,JAKARTA BARAT,3,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,27.367852335612017,2020-02-29 14:24:00
3,JAKARTA BARAT,4,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,27.675399617513047,2020-03-31 14:24:00
4,JAKARTA BARAT,5,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,27.992774373372416,2020-04-30 14:24:00
5,JAKARTA BARAT,6,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,27.608621622721376,2020-05-31 14:24:00
6,JAKARTA BARAT,7,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,27.560658691406285,2020-06-30 14:24:00
7,JAKARTA BARAT,8,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,27.703626708984395,2020-07-31 14:24:00
8,JAKARTA BARAT,9,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,27.895288208007837,2020-08-31 14:24:00
9,JAKARTA BARAT,10,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,28.090522013346387,2020-09-30 14:24:00
10,JAKARTA BARAT,11,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,27.737661580403675,2020-10-31 14:24:00
11,JAKARTA BARAT,12,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,27.280096720377628,2020-11-30 14:24:00
12,JAKARTA PUSAT,1,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,26.96197436523437,2020-01-01 09:36:00
13,JAKARTA PUSAT,2,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,26.862849609374997,2020-02-01 09:36:00
14,JAKARTA PUSAT,3,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,27.28196069335936,2020-02-29 14:24:00
15,JAKARTA PUSAT,4,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,27.601109374999986,2020-03-31 14:24:00
16,JAKARTA PUSAT,5,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,27.91244189453123,2020-04-30 14:24:00
17,JAKARTA PUSAT,6,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,27.507020263671883,2020-05-31 14:24:00
18,JAKARTA PUSAT,7,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,27.432423583984395,2020-06-30 14:24:00
19,JAKARTA PUSAT,8,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,27.5897888183594,2020-07-31 14:24:00
20,JAKARTA PUSAT,9,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,27.81412036132814,2020-08-31 14:24:00
21,JAKARTA PUSAT,10,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,27.99005029296878,2020-09-30 14:24:00
22,JAKARTA PUSAT,11,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,27.631009277343754,2020-10-31 14:24:00
23,JAKARTA PUSAT,12,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,27.201707275390618,2020-11-30 14:24:00
24,JAKARTA SELATAN,1,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,26.668584187825516,2020-01-01 09:36:00
25,JAKARTA SELATAN,2,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,26.582070109049493,2020-02-01 09:36:00
26,JAKARTA SELATAN,3,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,26.997148640950524,2020-02-29 14:24:00
27,JAKARTA SELATAN,4,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,27.313410237630208,2020-03-31 14:24:00
