,KABKOT,month,longitude,latitude,year,pm10,time
0,JAKARTA BARAT,1,106.74999999999996,-6.158333333333336,2020.0,1.6446224251947934e-07,2020-01-01 09:36:00
1,JAKARTA BARAT,2,106.74999999999996,-6.158333333333336,2020.0,1.748531933450544e-07,2020-02-01 09:36:00
2,JAKARTA BARAT,3,106.74999999999996,-6.158333333333336,2020.0,1.9706760984365017e-07,2020-02-29 14:24:00
3,JAKARTA BARAT,4,106.74999999999996,-6.158333333333336,2020.0,2.3861168764760414e-07,2020-03-31 14:24:00
4,JAKARTA BARAT,5,106.74999999999996,-6.158333333333336,2020.0,2.63327328192749e-07,2020-04-30 14:24:00
5,JAKARTA BARAT,6,106.74999999999996,-6.158333333333336,2020.0,2.709744094981186e-07,2020-05-31 14:24:00
6,JAKARTA BARAT,7,106.74999999999996,-6.158333333333336,2020.0,2.6728399790343437e-07,2020-06-30 14:24:00
7,JAKARTA BARAT,8,106.74999999999996,-6.158333333333336,2020.0,2.552988464632486e-07,2020-07-31 14:24:00
8,JAKARTA BARAT,9,106.74999999999996,-6.158333333333336,2020.0,2.478594228983629e-07,2020-08-31 14:24:00
9,JAKARTA BARAT,10,106.74999999999996,-6.158333333333336,2020.0,2.459839531786881e-07,2020-09-30 14:24:00
10,JAKARTA BARAT,11,106.74999999999996,-6.158333333333336,2020.0,2.1351422067894333e-07,2020-10-31 14:24:00
11,JAKARTA BARAT,12,106.74999999999996,-6.158333333333336,2020.0,1.741746995611562e-07,2020-11-30 14:24:00
12,JAKARTA PUSAT,1,106.84999999999995,-6.200000000000003,2020.0,1.7086893421591716e-07,2020-01-01 09:36:00
13,JAKARTA PUSAT,2,106.84999999999995,-6.200000000000003,2020.0,1.8043004008205867e-07,2020-02-01 09:36:00
14,JAKARTA PUSAT,3,106.84999999999995,-6.200000000000003,2020.0,2.052189797225878e-07,2020-02-29 14:24:00
15,JAKARTA PUSAT,4,106.84999999999995,-6.200000000000003,2020.0,2.4495638056265766e-07,2020-03-31 14:24:00
16,JAKARTA PUSAT,5,106.84999999999995,-6.200000000000003,2020.0,2.68146191501732e-07,2020-04-30 14:24:00
17,JAKARTA PUSAT,6,106.84999999999995,-6.200000000000003,2020.0,2.7442256234167416e-07,2020-05-31 14:24:00
18,JAKARTA PUSAT,7,106.84999999999995,-6.200000000000003,2020.0,2.690607824007483e-07,2020-06-30 14:24:00
19,JAKARTA PUSAT,8,106.84999999999995,-6.200000000000003,2020.0,2.5602225676380446e-07,2020-07-31 14:24:00
20,JAKARTA PUSAT,9,106.84999999999995,-6.200000000000003,2020.0,2.494339954779474e-07,2020-08-31 14:24:00
21,JAKARTA PUSAT,10,106.84999999999995,-6.200000000000003,2020.0,2.4845619061509e-07,2020-09-30 14:24:00
22,JAKARTA PUSAT,11,106.84999999999995,-6.200000000000003,2020.0,2.1874664011534263e-07,2020-10-31 14:24:00
23,JAKARTA PUSAT,12,106.84999999999995,-6.200000000000003,2020.0,1.8094426703285625e-07,2020-11-30 14:24:00
24,JAKARTA SELATAN,1,106.8083333333333,-6.283333333333336,2020.0,1.7634229374063786e-07,2020-01-01 09:36:00
25,JAKARTA SELATAN,2,106.8083333333333,-6.283333333333336,2020.0,1.8804711336972681e-07,2020-02-01 09:36:00
26,JAKARTA SELATAN,3,106.8083333333333,-6.283333333333336,2020.0,2.1275173802977686e-07,2020-02-29 14:24:00
27,JAKARTA SELATAN,4,106.8083333333333,-6.283333333333336,2020.0,2.573531254679304e-07,2020-03-31 14:24:00
28,JAKARTA SELATAN,5,106.8083333333333,-6.283333333333336,2020.0,2.8417467223522173e-07,2020-04-30 14:24:00
29,JAKARTA SELATAN,6,106.8083333333333,-6.283333333333336,2020.0,2.902856257769344e-07,2020-05-31 14:24:00
30,JAKARTA SELATAN,7,106.8083333333333,-6.283333333333336,2020.0,2.8564110235033874e-07,2020-06-30 14:24:00
31,JAKARTA SELATAN,8,106.8083333333333,-6.283333333333336,2020.0,2.7005760847576356e-07,2020-07-31 14:24:00
32,JAKARTA SELATAN,9,106.8083333333333,-6.283333333333336,2020.0,2.600944378317063e-07,2020-08-31 14:24:00
33,JAKARTA SELATAN,10,106.8083333333333,-6.283333333333336,2020.0,2.555313722955414e-07,2020-09-30 14:24:00
34,JAKARTA SELATAN,11,106.8083333333333,-6.283333333333336,2020.0,2.249032819255183e-07,2020-10-31 14:24:00
35,JAKARTA SELATAN,12,106.8083333333333,-6.283333333333336,2020.0,1.8596357022337856e-07,2020-11-30 14:24:00
36,JAKARTA TIMUR,1,106.90999999999997,-6.2600000000000025,2020.0,1.7579760956110068e-07,2020-01-01 09:36:00
37,JAKARTA TIMUR,2,106.90999999999997,-6.2600000000000025,2020.0,1.8490983151906497e-07,2020-02-01 09:36:00
38,JAKARTA TIMUR,3,106.90999999999997,-6.2600000000000025,2020.0,2.1090027524834874e-07,2020-02-29 14:24:00
39,JAKARTA TIMUR,4,106.90999999999997,-6.2600000000000025,2020.0,2.497410393161225e-07,2020-03-31 14:24:00
40,JAKARTA TIMUR,5,106.90999999999997,-6.2600000000000025,2020.0,2.723798636409964e-07,2020-04-30 14:24:00
41,JAKARTA TIMUR,6,106.90999999999997,-6.2600000000000025,2020.0,2.7742120619223443e-07,2020-05-31 14:24:00
42,JAKARTA TIMUR,7,106.90999999999997,-6.2600000000000025,2020.0,2.7098849751468477e-07,2020-06-30 14:24:00
43,JAKARTA TIMUR,8,106.90999999999997,-6.2600000000000025,2020.0,2.5630425972452104e-07,2020-07-31 14:24:00
44,JAKARTA TIMUR,9,106.90999999999997,-6.2600000000000025,2020.0,2.4932799727146867e-07,2020-08-31 14:24:00
45,JAKARTA TIMUR,10,106.90999999999997,-6.2600000000000025,2020.0,2.4821865544102637e-07,2020-09-30 14:24:00
46,JAKARTA TIMUR,11,106.90999999999997,-6.2600000000000025,2020.0,2.2106178388190487e-07,2020-10-31 14:24:00
47,JAKARTA TIMUR,12,106.90999999999997,-6.2600000000000025,2020.0,1.8514609996991225e-07,2020-11-30 14:24:00
48,JAKARTA UTARA,1,106.89166666666662,-6.125000000000003,2020.0,1.6337479744106983e-07,2020-01-01 09:36:00
49,JAKARTA UTARA,2,106.89166666666662,-6.125000000000003,2020.0,1.7074424744005112e-07,2020-02-01 09:36:00
50,JAKARTA UTARA,3,106.89166666666662,-6.125000000000003,2020.0,1.9464545220534062e-07,2020-02-29 14:24:00
51,JAKARTA UTARA,4,106.89166666666662,-6.125000000000003,2020.0,2.293408624218807e-07,2020-03-31 14:24:00
52,JAKARTA UTARA,5,106.89166666666662,-6.125000000000003,2020.0,2.490185378718518e-07,2020-04-30 14:24:00
